Performance counter,Mnemonic,0
LD_BLOCKS.STORE_FORWARD,r0203:u,14
LD_BLOCKS.NO_SR,r0803:u,0
MISALIGN_MEM_REF.LOADS,r0105:u,33
MISALIGN_MEM_REF.STORES,r0205:u,24
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,69167102
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,r0108:u,130344
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,r0208:u,129758
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,r0408:u,0
DTLB_LOAD_MISSES.WALK_COMPLETED,r0e08:u,129333
DTLB_LOAD_MISSES.WALK_DURATION,r1008:u,7088060
DTLB_LOAD_MISSES.STLB_HIT_4K,r2008:u,92174
DTLB_LOAD_MISSES.STLB_HIT_2M,r4008:u,0
DTLB_LOAD_MISSES.STLB_HIT,r6008:u,105438
DTLB_LOAD_MISSES.PDE_CACHE_MISS,r8008:u,2571
INT_MISC.RECOVERY_CYCLES,r030d:u,17930488
UOPS_ISSUED.ANY,r010e:u,5468736424
UOPS_ISSUED.FLAGS_MERGE,r100e:u,67393452
UOPS_ISSUED.SLOW_LEA,r200e:u,67826414
UOPS_ISSUED.SiNGLE_MUL,r400e:u,0
L2_RQSTS.DEMAND_DATA_RD_MISS,r2124:u,4405600
L2_RQSTS.DEMAND_DATA_RD_HIT,r4124:u,28539
L2_RQSTS.ALL_DEMAND_DATA_RD,re124:u,4725418
L2_RQSTS.RFO_HIT,r4224:u,21
L2_RQSTS.RFO_MISS,r2224:u,70848
L2_RQSTS.ALL_RFO,re224:u,64664
L2_RQSTS.CODE_RD_HIT,r4424:u,3318
L2_RQSTS.CODE_RD_MISS,r2424:u,4562
L2_RQSTS.ALL_DEMAND_MISS,r2724:u,4572002
L2_RQSTS.ALL_DEMAND_REFERENCES,re724:u,4693599
L2_RQSTS.ALL_CODE_RD,re424:u,8388
L2_RQSTS.L2_PF_HIT,r5024:u,0
L2_RQSTS.L2_PF_MISS,r3024:u,0
L2_RQSTS.ALL_PF,rf824:u,7616522
L2_RQSTS.MISS,r3f24:u,8631128
L2_RQSTS.REFERENCES,rff24:u,12560948
L2_DEMAND_RQSTS.WB_HIT,r5027:u,11659
LONGEST_LAT_CACHE.REFERENCE,cache-references:u,8624806
LONGEST_LAT_CACHE.MISS,cache-misses:u,8600999
CPU_CLK_UNHALTED.THREAD_P,cycles:u,2284106426
CPU_CLK_THREAD_UNHALTED.REF_XCLK,bus-cycles:u,59260127
L1D_PEND_MISS.PENDING,r0148:u,1316518970
DTLB_STORE_MISSES.MISS_CAUSES_A_WALK,r0149:u,402792
DTLB_STORE_MISSES.WALK_COMPLETED_4K,r0249:u,394420
DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M,r0449:u,0
DTLB_STORE_MISSES.WALK_COMPLETED,r0e49:u,394361
DTLB_STORE_MISSES.WALK_DURATION,r1049:u,8785040
DTLB_STORE_MISSES.STLB_HIT_4K,r2049:u,313475
DTLB_STORE_MISSES.STLB_HIT_2M,r4049:u,0
DTLB_STORE_MISSES.STLB_HIT,r6049:u,312467
DTLB_STORE_MISSES.PDE_CACHE_MISS,r8049:u,132180
LOAD_HIT_PRE.SW_PF,r014c:u,26317
LOAD_HIT_PRE.HW_PF,r024c:u,66421422
L1D.REPLACEMENT,r0151:u,12553229
MOVE_ELIMINATION.INT_NOT_ELIMINATED,r0458:u,315444
MOVE_ELIMINATION.SIMD_NOT_ELIMINATED,r0858:u,5
MOVE_ELIMINATION.INT_ELIMINATED,r0158:u,2076155
MOVE_ELIMINATION.SIMD_ELIMINATED,r0258:u,114
CPL_CYCLES.RING0,r015c:u,131979
CPL_CYCLES.RING123,r025c:u,2302873871
RS_EVENTS.EMPTY_CYCLES,r015e:u,75268672
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD,r0160:u,14344632538
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_CODE_RD,r0260:u,3426640652
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_RFO,r0460:u,398664490
OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD,r0860:u,14344632538
LOCK_CYCLES.SPLIT_LOCK_UC_LOCK_DURATION,r0163:u,0
LOCK_CYCLES.CACHE_LOCK_DURATION,r0263:u,212
IDQ.EMPTY,r0279:u,229554458
IDQ.MITE_UOPS,r0479:u,12294686
IDQ.DSB_UOPS,r0879:u,4889872997
IDQ.MS_DSB_UOPS,r1079:u,73700632
IDQ.MS_MITE_UOPS,r2079:u,62404933
