Performance counter,Mnemonic,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
LD_BLOCKS.STORE_FORWARD,r0203:u,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,1,0,1,1,0,0
LD_BLOCKS.NO_SR,r0803:u,57,192,157,197,310,364,292,127,540,184,607,691,685,116,315,372,132,134,129,158,154,143,188,226,106,369,164,185,192,129,117,251
MISALIGN_MEM_REF.LOADS,r0105:u,131400,131399,131394,131411,131394,131391,131398,131398,131390,131402,131397,131249,131243,131243,131245,131386,131388,131386,131392,131384,131388,131388,131391,131387,131390,131390,131403,131244,131236,131255,131242,131388
MISALIGN_MEM_REF.STORES,r0205:u,16,394198,15,394168,15,394160,15,394182,15,394191,14,394185,15,394173,14,394158,15,394156,15,394158,15,394159,15,394161,15,394178,15,394158,15,394164,14,394163
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,9137330,13341979,12662982,14230188,10022570,9917597,6727226,6412144,4292936,3876329,1460734,2395574,1399299,1307117,61088,518034,161946,74294,13428,13397,13404,13436,13418,13384,13398,13361,13381,13395,13405,13381,13409,13406
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,r0108:u,468,485,486,480,467,478,469,466,474,462,428,473,468,469,470,448,482,461,444,455,463,475,416,471,440,484,441,484,469,448,445,439
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,r0208:u,359,362,362,354,352,358,351,358,363,359,346,353,352,353,355,346,356,345,343,348,339,348,331,350,339,360,344,361,357,351,351,342
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,r0408:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTLB_LOAD_MISSES.WALK_COMPLETED,r0e08:u,350,351,364,356,359,351,340,348,362,352,331,351,328,344,352,344,359,346,352,344,343,341,339,338,338,362,358,360,353,355,359,340
DTLB_LOAD_MISSES.WALK_DURATION,r1008:u,9462,9580,9275,9606,9574,9283,8643,9312,9430,9640,8550,9170,8422,8936,9143,8811,9694,8583,9154,8647,8360,8863,8452,8984,8489,9962,8927,9670,9304,9605,10004,8538
DTLB_LOAD_MISSES.STLB_HIT_4K,r2008:u,924,723,557,947,679,771,1001,577,911,807,666,923,1017,899,602,1212,918,669,877,741,897,971,973,1220,906,924,804,604,882,895,628,918
DTLB_LOAD_MISSES.STLB_HIT_2M,r4008:u,14,20,18,28,14,25,21,29,20,20,15,26,24,28,17,20,22,13,23,21,24,18,20,34,26,30,22,48,24,26,22,18
DTLB_LOAD_MISSES.STLB_HIT,r6008:u,872,1222,736,913,966,702,695,1195,646,912,868,667,639,664,751,744,852,609,533,691,1171,820,1295,1008,933,697,1135,604,1260,778,1174,968
DTLB_LOAD_MISSES.PDE_CACHE_MISS,r8008:u,229,230,222,208,223,221,218,208,207,195,216,226,222,213,214,200,211,201,224,222,212,188,237,225,231,217,235,216,229,235,215,228
INT_MISC.RECOVERY_CYCLES,r030d:u,221599,221719,221706,219399,221250,220666,220574,220542,219501,218894,220327,221112,220273,219748,220612,218927,219607,219266,220668,219882,220704,217378,221956,221419,221580,220356,221081,220437,220828,222090,220577,220852
UOPS_ISSUED.ANY,r010e:u,91364850,91365566,91365965,91359531,91371214,91365606,91366082,91368909,91363979,91364394,91369580,91371462,91366409,91366098,91370004,91362849,91364387,91362470,91370199,91365782,91371727,91351788,91375736,91371029,91373992,91366782,91371340,91367016,91369486,91376911,91371059,91368616
UOPS_ISSUED.FLAGS_MERGE,r100e:u,1050484,1050509,1050483,1050490,1050505,1050483,1050501,1050501,1050472,1050494,1050483,1050500,1050481,1050512,1050480,1050490,1050480,1050482,1050484,1050504,1050499,1050485,1050489,1050509,1050512,1050515,1050500,1050511,1050491,1050501,1050494,1050499
UOPS_ISSUED.SLOW_LEA,r200e:u,1052088,1052125,1052054,1052126,1052126,1052076,1052094,1052088,1051982,1052040,1052077,1052104,1052037,1052112,1052078,1052104,1052057,1052020,1052037,1052124,1052108,1052034,1052078,1052104,1052146,1052097,1052124,1052120,1052068,1052117,1052046,1052098
UOPS_ISSUED.SiNGLE_MUL,r400e:u,1312530,1312449,1312547,1313094,1313518,1313239,1313373,1313601,1313625,1313664,1313636,1313712,1313613,1313542,1313615,1313526,1313531,1313508,1313614,1313496,1313536,1313506,1313588,1313512,1313506,1313513,1313636,1313514,1313515,1313609,1313609,1313511
L2_RQSTS.DEMAND_DATA_RD_MISS,r2124:u,1817,1820,1848,1846,1790,1838,1780,1764,1665,1649,1684,1761,1793,1726,1794,1942,1791,1946,1910,1934,1793,1930,1927,1915,1845,1900,1839,1859,1527,1540,2019,1889
L2_RQSTS.DEMAND_DATA_RD_HIT,r4124:u,805,832,813,769,664,707,610,645,614,655,702,650,727,913,1072,6056,1048,6398,2441,3952,1022,4810,2881,2609,853,4675,3267,2051,999,3364,7665,2145
L2_RQSTS.ALL_DEMAND_DATA_RD,re124:u,2905,2927,2887,2891,2716,2824,2684,2666,2579,2614,2666,2703,2816,2926,3149,8277,3116,8666,4627,6154,3126,7006,5149,4807,2953,6857,5331,4198,2772,5186,10086,4339
L2_RQSTS.RFO_HIT,r4224:u,95173,95266,95279,95421,95330,95059,94719,95366,94421,94874,94400,94983,94597,94300,94919,95062,93469,93491,92660,93535,92767,93753,92171,93405,94143,94133,94679,94657,95325,94535,90981,93532
L2_RQSTS.RFO_MISS,r2224:u,3140,3104,3012,3011,3030,3292,3352,3162,3198,3425,3514,3266,3505,3765,3151,3089,3895,4039,4299,3893,4618,3662,4909,3849,3794,3634,3336,3334,2984,3349,5405,3798
L2_RQSTS.ALL_RFO,re224:u,98437,98636,98515,98593,98582,98652,98338,98701,98070,98577,98264,98539,98329,98167,97184,98240,97534,97518,96969,97823,97851,97603,98200,97461,97328,98526,97210,97624,98124,98413,97402,97657
L2_RQSTS.CODE_RD_HIT,r4424:u,726,710,715,695,715,701,730,651,715,761,701,667,723,724,763,682,673,719,639,711,744,741,728,732,799,722,702,750,709,712,670,707
L2_RQSTS.CODE_RD_MISS,r2424:u,1571,1593,1566,1529,1537,1532,1536,1490,1530,1555,1539,1517,1549,1573,1573,1494,1475,1540,1445,1564,1574,1572,1563,1511,1575,1541,1545,1578,1542,1541,1446,1531
L2_RQSTS.ALL_DEMAND_MISS,r2724:u,6434,6750,6665,6391,6264,6707,6520,6315,6595,6264,6511,6316,6533,7433,8576,6716,7147,7317,7716,7617,7465,7492,7148,7148,7912,6619,8356,7410,6423,6380,7373,7127
L2_RQSTS.ALL_DEMAND_REFERENCES,re724:u,103688,103642,103649,103949,103331,103702,103314,103587,103086,103485,103106,103389,103433,103207,103611,108226,103242,108126,104023,105843,103391,107396,105374,104629,102756,107548,105329,104764,103633,105584,109258,104260
L2_RQSTS.ALL_CODE_RD,re424:u,2287,2168,2309,2307,2278,2295,2242,2223,2274,2264,2321,2149,2273,2306,2311,2295,2153,2089,2259,2266,2263,2278,2307,2307,2258,2120,2193,2260,2215,2069,2228,2311
L2_RQSTS.L2_PF_HIT,r5024:u,3589,3613,3695,3694,3853,3795,3584,3700,3757,3601,3865,3619,3801,4361,4137,4859,4273,4429,4842,4788,4637,4243,4444,4564,5014,3660,4456,4289,3681,3765,5307,4314
L2_RQSTS.L2_PF_MISS,r3024:u,160734,160618,160743,160695,160970,160918,160866,160960,161017,160955,160996,160946,161007,161501,161138,161337,161102,161422,161184,161458,161004,161124,161172,161491,161598,161071,161227,161069,161046,160974,161489,161335
L2_RQSTS.ALL_PF,rf824:u,230219,230431,230374,230390,231135,231108,230882,230714,230862,230918,231001,230860,230970,231944,231611,226330,232230,226443,230479,228648,230706,226810,229440,229848,232280,226639,228605,229815,231731,228553,225482,230097
L2_RQSTS.MISS,r3f24:u,168780,168823,168750,168761,169460,169292,168765,168856,168800,168835,169078,168824,169557,170880,172675,170824,171719,171300,172021,170716,169045,169280,171476,170776,171261,168951,170534,170049,170843,169394,171655,170158
L2_RQSTS.REFERENCES,rff24:u,333857,334215,334041,334213,334242,334754,334194,334208,333964,334350,334170,334304,334583,335077,334780,335000,335265,334791,334516,334678,334394,334230,334413,334549,335105,334290,334717,334384,335087,334302,334746,334539
L2_DEMAND_RQSTS.WB_HIT,r5027:u,98075,98110,98220,98181,98091,98110,98010,98046,98035,98178,98101,98022,98146,98010,98070,97772,97932,98044,98038,97999,98130,98058,97902,97889,98154,98134,98175,97980,97845,98133,98022,98061
LONGEST_LAT_CACHE.REFERENCE,cache-references:u,8109,8284,8690,8286,8796,8611,8126,8214,8226,8044,9929,8229,9374,9877,13001,9282,9843,11079,13942,10889,10190,9723,13853,10884,12834,8209,9046,11587,10405,9789,9721,10823
LONGEST_LAT_CACHE.MISS,cache-misses:u,2741,3096,3440,2599,3450,2710,2735,2767,2692,2518,3358,2522,3117,3040,4032,3084,3802,4166,4625,3763,3175,3201,4546,4371,4574,2550,2882,4343,3520,3532,3166,3878
CPU_CLK_UNHALTED.THREAD_P,cycles:u,38960532,41057107,39048282,40334867,38020627,38228424,36222533,36070816,34996156,34980987,33574409,34122470,33516808,33826278,32676218,33691650,33223508,33739746,32716640,33700897,33174147,33713304,32672245,33713146,33230675,33690465,32690334,33772316,33172297,33796792,32782211,33905314
CPU_CLK_THREAD_UNHALTED.REF_XCLK,bus-cycles:u,1005442,1060769,1006800,1043984,984618,985570,936167,933245,904834,901235,867268,882218,866738,873816,844572,870036,857230,870933,847223,869709,856919,868427,840090,870625,857439,869162,841900,873005,856958,874912,846363,874599
