Performance counter,Mnemonic,Correlation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
LD_BLOCKS.STORE_FORWARD,r0203:u,0.16147662459,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,0
LD_BLOCKS.NO_SR,r0803:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MISALIGN_MEM_REF.LOADS,r0105:u,-0.356296363384,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1
MISALIGN_MEM_REF.STORES,r0205:u,-0.0843488445818,0,-1,0,-1,-1,-1,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,-1,-1,0,0,-1,0,0,0,0,0,0,-1,0
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,0.996674384442,12145292,12643545,13284521,8966170,2365416,80305,57456,55668,55708,55787,56171,56164,56378,57142,56769,55794,56045,56135,55781,55748,55781,55635,55715,55718,55839,55811,55910,55810,56067,56042,55898,55853
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,r0108:u,0.614293275114,3,4,95,2,-1,-2,-2,5,0,-1,0,1,-3,2,1,-2,-2,2,1,0,2,0,-1,0,-3,-3,-2,0,-2,1,-2,-1
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,r0208:u,0.599566285865,2,4,95,1,0,-1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,2,1,1,1,0,-1,-1,0,0,1,0,0
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,r0408:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTLB_LOAD_MISSES.WALK_COMPLETED,r0e08:u,0.59463962618,2,3,82,1,0,1,-1,0,-1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,2,1,0,1,1,0,0,0,1
DTLB_LOAD_MISSES.WALK_DURATION,r1008:u,0.706422690013,649,839,3804,99,144,186,135,188,109,199,167,169,163,142,196,148,229,208,150,107,152,141,241,254,139,157,243,160,222,139,167,245
DTLB_LOAD_MISSES.STLB_HIT_4K,r2008:u,0.431125269031,-42,-22,363,-17,-13,0,-15,-19,12,15,37,-3,23,3,-9,-23,49,-50,-34,-24,10,8,7,11,-10,-19,-58,58,11,33,4,-33
DTLB_LOAD_MISSES.STLB_HIT_2M,r4008:u,-0.242806618838,-1,-1,-1,-1,0,0,-1,-1,-1,0,-2,-1,0,0,0,0,0,0,0,-1,0,-1,0,-2,-1,0,-1,0,-1,-1,0,-1
DTLB_LOAD_MISSES.STLB_HIT,r6008:u,0.441252843046,-66,40,304,-18,-36,-32,14,9,22,43,3,6,18,8,51,-6,17,-34,1,-6,-21,-2,-15,-17,-74,2,-38,-16,29,48,36,-32
DTLB_LOAD_MISSES.PDE_CACHE_MISS,r8008:u,0.327877610491,-1,1,3,2,-4,-1,-1,1,-1,-3,0,-3,-2,-2,-2,-1,1,0,-1,3,-1,0,-2,2,-1,0,2,-1,2,-1,0,-1
INT_MISC.RECOVERY_CYCLES,r030d:u,0.877276124801,4553,6270,6433,1850,1523,2077,1982,2066,2271,1695,2240,1892,2324,1992,2154,2058,2143,1877,1124,1444,1039,2010,2176,2382,2304,1897,1735,2151,2444,1957,2159,2008
UOPS_ISSUED.ANY,r010e:u,0.868049929753,43027259,43054853,43056640,43011390,43008185,43010533,43010885,43010261,43012115,43008248,43011637,43009804,43012771,43010230,43011552,43010901,43010688,43007994,43002498,43002569,43000823,43010086,43012667,43012170,43012807,43009113,43007613,43011179,43012979,43009936,43011037,43009764
UOPS_ISSUED.FLAGS_MERGE,r100e:u,0.782196484179,5,37,35,-2,1,-2,3,2,-3,2,-1,-1,1,-1,2,-2,1,3,-4,5,0,-4,4,0,-2,0,1,1,1,0,-1,-2
UOPS_ISSUED.SLOW_LEA,r200e:u,0.764754362113,21,52,48,6,10,-1,12,10,-4,5,-3,-1,7,-3,9,-13,-6,13,-9,21,1,-9,13,3,-5,1,1,7,11,2,3,-9
UOPS_ISSUED.SiNGLE_MUL,r400e:u,0.811755864512,5245088,5248873,5247607,5244853,5244665,5244413,5244653,5244526,5244387,5244292,5244259,5244668,5244694,5244511,5244570,5244450,5244128,5244512,5243856,5243705,5243443,5244549,5244382,5244537,5244458,5244669,5244550,5244309,5244359,5244377,5244509,5244473
L2_RQSTS.DEMAND_DATA_RD_MISS,r2124:u,0.529999932992,1065,1179,1106,1022,962,750,1007,1021,1000,1046,1048,995,990,1002,987,992,1020,928,1010,974,875,765,985,1008,991,980,1019,980,966,1006,984,986
L2_RQSTS.DEMAND_DATA_RD_HIT,r4124:u,-0.146343698738,436,818,1088,326,520,702,638,739,671,685,789,701,726,763,692,724,736,721,847,766,1055,1137,804,861,763,977,1048,954,750,823,757,750
L2_RQSTS.ALL_DEMAND_DATA_RD,re124:u,0.0530902469373,1500,1920,2183,1350,1473,1454,1630,1777,1669,1687,1854,1710,1711,1768,1674,1722,1743,1659,1857,1726,1942,1894,1787,1872,1749,1958,2069,1925,1731,1827,1735,1727
L2_RQSTS.RFO_HIT,r4224:u,-0.696144380463,63457,62879,63401,63882,63942,64035,63871,63831,63930,63884,63556,63742,63942,63814,63755,63781,63757,63745,63778,64031,63716,63955,63753,63825,63744,63782,63644,63627,63829,63774,63987,63765
L2_RQSTS.RFO_MISS,r2224:u,0.91072196991,1788,2186,1973,1341,1257,1191,1319,1254,1265,1272,1364,1327,1245,1312,1355,1250,1277,1346,1250,1222,1260,1249,1318,1256,1275,1310,1330,1276,1285,1266,1248,1303
L2_RQSTS.ALL_RFO,re224:u,0.452821925396,65291,65069,65393,65212,65146,65194,65189,65062,65195,65175,64894,65183,65119,65125,65240,65084,65064,65065,65084,65239,64970,65241,65062,65014,65145,65177,65117,65018,64969,65039,65137,64940
L2_RQSTS.CODE_RD_HIT,r4424:u,0.427027512398,8,13,9,-3,9,-3,2,2,2,7,8,12,2,1,4,-3,-2,-1,-1,-2,4,0,10,7,-1,-6,-5,-2,-2,-2,3,0
L2_RQSTS.CODE_RD_MISS,r2424:u,0.544396785171,15,16,12,6,6,6,2,4,6,6,2,12,1,4,7,-2,0,0,-3,3,7,4,14,12,4,1,6,4,2,-3,12,9
L2_RQSTS.ALL_DEMAND_MISS,r2724:u,0.894929255073,2920,3432,2902,2482,2261,2073,2323,2323,2245,2319,2413,2300,2268,2345,2211,2262,2295,2212,2298,2199,2161,2061,2345,2290,2240,2214,2297,2246,2277,2259,2293,2302
L2_RQSTS.ALL_DEMAND_REFERENCES,re724:u,0.374225845907,66809,67144,67518,66558,66700,66728,66823,66960,66873,66876,66797,66817,66825,67004,66781,66600,66895,66763,66913,66773,66821,67089,66889,66951,66822,67109,67064,67016,66909,66972,66825,66657
L2_RQSTS.ALL_CODE_RD,re424:u,0.537315232748,19,18,20,1,6,21,-1,-6,-5,5,2,2,4,-5,6,-10,-2,5,10,11,1,2,12,9,-2,0,5,3,0,10,13,4
L2_RQSTS.L2_PF_HIT,r5024:u,0.851114926363,2643,3829,3478,2224,2206,2172,2238,2227,2221,2210,2450,2176,2187,2147,2180,2313,2167,2178,2176,2196,2162,2173,2216,2174,2180,2179,2219,2152,2146,2195,2196,2190
L2_RQSTS.L2_PF_MISS,r3024:u,-0.621464535655,128195,129103,127985,128544,128749,128822,128804,128843,128843,128741,128913,128858,128853,128879,128862,128877,128832,128676,128763,128793,128747,128787,128700,128833,128818,128820,128848,128814,128802,128781,128754,128838
L2_RQSTS.ALL_PF,rf824:u,0.460940359165,195273,196518,194731,195413,195460,195428,195095,194979,195225,195026,195202,195059,195076,195009,195192,195149,195037,195046,194931,194940,194578,194724,194985,194914,195007,194700,194726,194850,194903,194997,195029,195075
L2_RQSTS.MISS,r3f24:u,0.816996588182,131821,133471,133331,131363,131458,131564,131525,131475,131585,131413,131672,131380,131374,131408,131591,131437,131428,131464,131421,131369,131384,131376,131425,131402,131418,131433,131383,131422,131391,131478,131425,131438
L2_RQSTS.REFERENCES,rff24:u,0.690571494708,262095,263711,262331,261948,262123,262032,261927,261945,261903,261932,261908,261915,261961,261917,261829,261940,261845,261717,261830,261683,261764,261857,261892,261845,261883,261735,261907,261764,261776,261761,261755,261778
L2_DEMAND_RQSTS.WB_HIT,r5027:u,-0.795729035109,65127,63089,63768,65438,65487,65438,65436,65405,65230,65446,65193,65467,65494,65458,65373,65462,65460,65453,65469,65424,65430,65477,65485,65474,65493,65349,65479,65459,65466,65358,65435,65375
LONGEST_LAT_CACHE.REFERENCE,cache-references:u,0.788370565772,3812,4765,6636,2882,3090,3174,3075,3025,3147,3064,3515,2879,3167,3010,3200,3149,3174,3028,3092,3219,3298,2868,3049,2940,2984,3087,3015,3244,2994,3217,2980,3246
