Performance counter,Mnemonic,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
LD_BLOCKS.STORE_FORWARD,r0203:u,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0
LD_BLOCKS.NO_SR,r0803:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MISALIGN_MEM_REF.LOADS,r0105:u,5,5,5,4,5,5,5,5,5,5,4,4,4,5,4,5,5,5,5,5,4,5,5,4,5,4,5,4,5,5,5,4
MISALIGN_MEM_REF.STORES,r0205:u,15,14,15,15,15,15,15,14,14,16,15,14,14,15,14,16,14,14,14,14,15,15,16,14,15,15,15,14,15,15,16,14
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,2115950,2837331,2547337,2221296,946580,26062,24740,25470,24825,24383,24038,23585,23655,23610,23568,23588,23599,23592,23592,23597,23576,23559,23591,23579,23590,23554,23556,23584,23573,23557,23572,23569
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,r0108:u,484,472,484,484,479,482,427,482,488,478,454,458,437,490,479,487,489,473,468,488,465,484,475,474,488,463,459,475,469,479,470,483
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,r0208:u,368,355,361,357,367,354,348,361,359,361,352,359,352,363,363,365,363,361,358,361,353,360,359,361,359,354,352,357,354,358,353,362
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,r0408:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTLB_LOAD_MISSES.WALK_COMPLETED,r0e08:u,349,358,356,364,354,353,359,356,359,361,354,343,359,362,357,361,360,353,361,359,363,357,363,359,363,355,352,359,353,358,355,358
DTLB_LOAD_MISSES.WALK_DURATION,r1008:u,9381,9502,9821,10171,9590,9607,9431,9571,10009,9557,9896,9507,9312,10153,9844,10136,10024,9761,9545,9767,10055,9378,9501,9887,9897,9365,9734,9486,9478,9690,10051,9978
DTLB_LOAD_MISSES.STLB_HIT_4K,r2008:u,766,863,844,870,1063,891,747,615,991,708,892,741,1043,600,547,524,687,857,914,897,881,829,638,709,740,1039,1108,744,555,823,576,758
DTLB_LOAD_MISSES.STLB_HIT_2M,r4008:u,14,14,15,23,19,18,23,19,16,18,23,12,12,18,18,13,25,19,25,23,16,12,29,19,16,24,19,17,22,21,20,23
DTLB_LOAD_MISSES.STLB_HIT,r6008:u,768,810,654,1138,1034,874,682,664,900,862,891,580,824,902,1198,656,783,681,966,679,708,580,598,1076,865,935,1185,913,1153,1106,616,455
DTLB_LOAD_MISSES.PDE_CACHE_MISS,r8008:u,222,218,214,223,223,207,230,219,188,228,222,214,224,228,209,232,228,208,212,234,226,227,231,223,207,231,220,207,230,224,223,220
INT_MISC.RECOVERY_CYCLES,r030d:u,220835,220838,220762,221660,221496,219898,220607,220260,218389,221026,221412,220935,222799,221714,219856,222251,221382,220257,220826,221888,221794,221747,221638,220970,219603,225065,220393,219982,221922,221516,221470,221697
UOPS_ISSUED.ANY,r010e:u,118378644,118378721,118378833,118384036,118382604,118374522,118377126,118376054,118367594,118380301,118383656,118380381,118389533,118384627,118374458,118386326,118381681,118376682,118380579,118385670,118383939,118382644,118381433,118380154,118371849,118410466,118375361,118376356,118385353,118384751,118383431,118383872
UOPS_ISSUED.FLAGS_MERGE,r100e:u,1050494,1050490,1050494,1050498,1050480,1050484,1050451,1050467,1050439,1050478,1050483,1050488,1050457,1050481,1050496,1050489,1050497,1050468,1050481,1050483,1050470,1050480,1050476,1050477,1050480,1050477,1050494,1050488,1050482,1050484,1050488,1050479
UOPS_ISSUED.SLOW_LEA,r200e:u,1052127,1052078,1052079,1052121,1052102,1052091,1051975,1052061,1051887,1052094,1052083,1052035,1052010,1052090,1052137,1052108,1052117,1052061,1052091,1052104,1052088,1052099,1052059,1052081,1052083,1052054,1052112,1052100,1052095,1052119,1052134,1052102
UOPS_ISSUED.SiNGLE_MUL,r400e:u,5247245,5247366,5247213,5247208,5247176,5247168,5247050,5247229,5247411,5247418,5247340,5247658,5247445,5247376,5247351,5247298,5247443,5247286,5247245,5247156,5247129,5247129,5247139,5247227,5247263,5247280,5247450,5247618,5247392,5247437,5247283,5247197
L2_RQSTS.DEMAND_DATA_RD_MISS,r2124:u,1802,1815,1808,1809,1764,1787,1762,1784,1745,1788,1784,1781,1785,1783,1785,1777,1790,1793,1801,1768,1745,1749,1742,1774,1788,1811,1793,1789,1770,1775,1798,1790
L2_RQSTS.DEMAND_DATA_RD_HIT,r4124:u,1233,1063,1023,1152,1252,1306,1428,1417,1414,1444,1414,1451,1455,1458,1424,1486,1449,1457,1479,1619,1521,1586,2033,1920,1558,1500,1501,1496,1504,1550,1585,1559
L2_RQSTS.ALL_DEMAND_DATA_RD,re124:u,3325,3160,3104,3271,3299,3400,3459,3511,3475,3506,3500,3505,3523,3544,3467,3593,3524,3529,3550,3670,3548,3630,4071,3964,3680,3610,3603,3590,3587,3631,3647,3649
L2_RQSTS.RFO_HIT,r4224:u,94965,95080,95066,95263,95320,95192,95411,95020,94993,95139,95272,95256,95159,95004,95330,95023,94987,95197,94985,95207,95377,95304,95329,95198,94971,95130,94866,95025,95216,95089,95133,95105
