Performance counter,Mnemonic,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
LD_BLOCKS.STORE_FORWARD,r0203:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_BLOCKS.NO_SR,r0803:u,0,56,0,45,37,4,2,1,181,13,104,503,515,130,281,292,138,336,67,93,468,222,238,675,129,553,272,220,364,353,58,389
MISALIGN_MEM_REF.LOADS,r0105:u,133139,133136,133138,133162,133139,133133,133137,133156,133136,133145,133146,132114,132118,132109,132107,133140,133134,133143,133147,133136,133132,133142,133149,133141,133130,133139,133155,132153,132106,132112,132132,133142
MISALIGN_MEM_REF.STORES,r0205:u,2,399398,2,399367,1,399371,2,399452,1,399396,2,399382,2,399401,2,399404,2,399421,2,399408,2,399406,2,399390,1,399391,2,399445,2,399375,2,399413
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,9077036,12947418,12538570,12821374,9598767,9111809,6603836,5428405,3551268,2753416,1363287,972653,394450,326785,44487,364899,23467,42820,13965,13951,13966,13947,13950,13953,13942,13955,13941,13961,13966,13943,13960,13937
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,r0108:u,433,404,423,448,413,440,440,443,397,437,411,433,425,411,422,404,414,405,390,396,418,441,416,413,429,444,450,452,440,446,446,441
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,r0208:u,333,324,318,334,317,326,321,321,311,318,314,319,314,318,314,323,318,319,314,314,314,329,327,319,328,327,347,333,320,327,344,334
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,r0408:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTLB_LOAD_MISSES.WALK_COMPLETED,r0e08:u,328,323,319,316,316,316,316,329,316,321,319,313,324,316,312,317,325,315,321,317,326,328,316,328,321,336,339,326,332,327,336,323
DTLB_LOAD_MISSES.WALK_DURATION,r1008:u,7969,7630,7764,7507,8205,7986,7979,8049,8041,8009,8151,8029,7929,7700,7809,8319,8049,7565,7979,7631,8092,8088,7802,8513,7838,8097,8730,7868,8107,7855,8820,8049
DTLB_LOAD_MISSES.STLB_HIT_4K,r2008:u,301,322,261,279,784,270,360,994,274,303,381,489,262,307,289,275,459,280,272,278,274,568,429,298,376,388,277,307,326,470,381,282
DTLB_LOAD_MISSES.STLB_HIT_2M,r4008:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTLB_LOAD_MISSES.STLB_HIT,r6008:u,250,324,368,387,690,250,291,406,345,410,292,750,260,428,348,293,421,396,300,372,326,582,252,486,345,433,263,265,371,276,322,255
DTLB_LOAD_MISSES.PDE_CACHE_MISS,r8008:u,218,200,215,201,207,197,182,218,229,220,212,211,206,226,215,208,219,204,181,209,223,211,206,209,209,216,177,202,216,184,213,193
INT_MISC.RECOVERY_CYCLES,r030d:u,297558,296543,297835,296808,297374,296954,295194,297721,298623,296909,297015,296935,296271,297479,297636,296778,297565,296332,295113,297172,297559,296526,296390,296724,297221,296928,296014,296700,297942,295283,297603,296309
UOPS_ISSUED.ANY,r010e:u,92248385,92234248,92250701,92268741,92288050,92273529,92281758,92303132,92308916,92300190,92303508,92302469,92297186,92306147,92309605,92300553,92300745,92301927,92300525,92300715,92301873,92302537,92301150,92302049,92304214,92300877,92310044,92301101,92305077,92300385,92311252,92302325
UOPS_ISSUED.FLAGS_MERGE,r100e:u,1052071,1052110,1052113,1052075,1052090,1052044,1052088,1052102,1052110,1052087,1052094,1052083,1052082,1052120,1052098,1052046,1052089,1052079,1052101,1052062,1052099,1052088,1052093,1052100,1052113,1052087,1052115,1052054,1052064,1052122,1052098,1052133
UOPS_ISSUED.SLOW_LEA,r200e:u,1057812,1057851,1057872,1057778,1057748,1057633,1057709,1057906,1057926,1057838,1057870,1057815,1057741,1057922,1057753,1057682,1057867,1057895,1057821,1057733,1057882,1057803,1057877,1057864,1057897,1057867,1057899,1057638,1057786,1057775,1057810,1057892
UOPS_ISSUED.SiNGLE_MUL,r400e:u,1321766,1320562,1321740,1325098,1326928,1325224,1326732,1329314,1329267,1329307,1329295,1329233,1329244,1329324,1329446,1329262,1329306,1329224,1329444,1329294,1329235,1329227,1329307,1329290,1329349,1329247,1329990,1329245,1329258,1329261,1329782,1329552
L2_RQSTS.DEMAND_DATA_RD_MISS,r2124:u,1880,1926,1866,1866,1896,1845,1811,1832,1781,1752,1748,1749,1744,1776,1776,2203,1733,2206,1750,2098,1734,2161,1839,2179,1822,2307,1862,2257,1814,2317,1816,2165
