Performance counter,Mnemonic,0
LD_BLOCKS.STORE_FORWARD,r0203:u,36
LD_BLOCKS.NO_SR,r0803:u,0
MISALIGN_MEM_REF.LOADS,r0105:u,30
MISALIGN_MEM_REF.STORES,r0205:u,28
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,1110499
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,r0108:u,97901
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,r0208:u,97239
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,r0408:u,0
DTLB_LOAD_MISSES.WALK_COMPLETED,r0e08:u,97024
DTLB_LOAD_MISSES.WALK_DURATION,r1008:u,4037164
DTLB_LOAD_MISSES.STLB_HIT_4K,r2008:u,284861
DTLB_LOAD_MISSES.STLB_HIT_2M,r4008:u,0
DTLB_LOAD_MISSES.STLB_HIT,r6008:u,302456
DTLB_LOAD_MISSES.PDE_CACHE_MISS,r8008:u,2430
INT_MISC.RECOVERY_CYCLES,r030d:u,18302838
UOPS_ISSUED.ANY,r010e:u,5483208038
UOPS_ISSUED.FLAGS_MERGE,r100e:u,67394423
UOPS_ISSUED.SLOW_LEA,r200e:u,67822580
UOPS_ISSUED.SiNGLE_MUL,r400e:u,0
L2_RQSTS.DEMAND_DATA_RD_MISS,r2124:u,1185671
L2_RQSTS.DEMAND_DATA_RD_HIT,r4124:u,1160196
L2_RQSTS.ALL_DEMAND_DATA_RD,re124:u,2510994
L2_RQSTS.RFO_HIT,r4224:u,14264
L2_RQSTS.RFO_MISS,r2224:u,39473
L2_RQSTS.ALL_RFO,re224:u,55422
L2_RQSTS.CODE_RD_HIT,r4424:u,4007
L2_RQSTS.CODE_RD_MISS,r2424:u,4931
L2_RQSTS.ALL_DEMAND_MISS,r2724:u,1197413
L2_RQSTS.ALL_DEMAND_REFERENCES,re724:u,2582164
L2_RQSTS.ALL_CODE_RD,re424:u,12424
L2_RQSTS.L2_PF_HIT,r5024:u,1566797
L2_RQSTS.L2_PF_MISS,r3024:u,9591368
L2_RQSTS.ALL_PF,rf824:u,21071781
L2_RQSTS.MISS,r3f24:u,13490676
L2_RQSTS.REFERENCES,rff24:u,23688695
L2_DEMAND_RQSTS.WB_HIT,r5027:u,21441
LONGEST_LAT_CACHE.REFERENCE,cache-references:u,4500670
LONGEST_LAT_CACHE.MISS,cache-misses:u,1102197
CPU_CLK_UNHALTED.THREAD_P,cycles:u,2060999385
CPU_CLK_THREAD_UNHALTED.REF_XCLK,bus-cycles:u,53512611
L1D_PEND_MISS.PENDING,r0148:u,278375895
DTLB_STORE_MISSES.MISS_CAUSES_A_WALK,r0149:u,401260
DTLB_STORE_MISSES.WALK_COMPLETED_4K,r0249:u,394151
DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M,r0449:u,0
DTLB_STORE_MISSES.WALK_COMPLETED,r0e49:u,394276
DTLB_STORE_MISSES.WALK_DURATION,r1049:u,8369455
DTLB_STORE_MISSES.STLB_HIT_4K,r2049:u,300956
DTLB_STORE_MISSES.STLB_HIT_2M,r4049:u,0
DTLB_STORE_MISSES.STLB_HIT,r6049:u,287394
DTLB_STORE_MISSES.PDE_CACHE_MISS,r8049:u,133462
LOAD_HIT_PRE.SW_PF,r014c:u,68074
LOAD_HIT_PRE.HW_PF,r024c:u,46026361
L1D.REPLACEMENT,r0151:u,12674037
MOVE_ELIMINATION.INT_NOT_ELIMINATED,r0458:u,315910
MOVE_ELIMINATION.SIMD_NOT_ELIMINATED,r0858:u,4
MOVE_ELIMINATION.INT_ELIMINATED,r0158:u,2070777
MOVE_ELIMINATION.SIMD_ELIMINATED,r0258:u,121
CPL_CYCLES.RING0,r015c:u,132015
CPL_CYCLES.RING123,r025c:u,2061516784
RS_EVENTS.EMPTY_CYCLES,r015e:u,73361087
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD,r0160:u,5085138428
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_CODE_RD,r0260:u,2927456315
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_RFO,r0460:u,136434116
OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD,r0860:u,4669982442
LOCK_CYCLES.SPLIT_LOCK_UC_LOCK_DURATION,r0163:u,0
LOCK_CYCLES.CACHE_LOCK_DURATION,r0263:u,212
IDQ.EMPTY,r0279:u,231915255
IDQ.MITE_UOPS,r0479:u,5625052
IDQ.DSB_UOPS,r0879:u,4909365895
IDQ.MS_DSB_UOPS,r1079:u,73785273
IDQ.MS_MITE_UOPS,r2079:u,62101091
IDQ.MS_UOPS,r3079:u,135886364
IDQ.ALL_DSB_CYCLES_ANY_UOPS,r01001879:u,1524559349
IDQ.ALL_DSB_CYCLES_4_UOPS,r04001879:u,824715079
IDQ.ALL_MITE_CYCLES_ANY_UOPS,r01002479:u,37649248
IDQ.ALL_MITE_CYCLES_4_UOPS,r04002479:u,7129381
IDQ.MITE_ALL_UOPS,r3c79:u,5047149533
ICACHE.MISSES,r0280:u,4787
ITLB_MISSES.MISS_CAUSES_A_WALK,r0185:u,3554
ITLB_MISSES.WALK_COMPLETED_4K,r0285:u,514
ITLB_MISSES.WALK_COMPLETED_2M_4M,r0485:u,0
ITLB_MISSES.WALK_COMPLETED,r0e85:u,490
ITLB_MISSES.WALK_DURATION,r1085:u,37036
ITLB_MISSES.STLB_HIT_4K,r2085:u,118
ITLB_MISSES.STLB_HIT_2M,r4085:u,0
ITLB_MISSES.STLB_HIT,r6085:u,121
ILD_STALL.LCP,r0187:u,134
ILD_STALL.IQ_FULL,r0487:u,1079065
BR_INST_EXEC.COND.NOTAKEN,r4188:u,309822789
BR_INST_EXEC.COND.TAKEN,r8188:u,240221612
BR_INST_EXEC.DIRECT_JMP.TAKEN,r8288:u,78178
BR_INST_EXEC.INDIRECT_JMP_NON_CALL_RET.TAKEN,r8488:u,67413822
BR_INST_EXEC.RETURN_NEAR.TAKEN,r8888:u,201851924
BR_INST_EXEC.DIRECT_NEAR_CALL.TAKEN,r9088:u,202190625
BR_INST_EXEC.INDIRECT_NEAR_CALL.TAKEN,ra088:u,324
BR_INST_EXEC.ALL_BRANCHES,rff88:u,1020970956
BR_MISP_EXEC.COND.NOTAKEN,r4189:u,19574
BR_MISP_EXEC.COND.TAKEN,r8189:u,2175646
BR_MISP_EXEC.INDIRECT_JMP_NON_CALL_RET.TAKEN,r8489:u,21208
BR_MISP_EXEC.RETURN_NEAR.TAKEN,r8889:u,381
BR_MISP_EXEC.DIRECT_NEAR_CALL.TAKEN,r9089:u,0
