Performance counter,Mnemonic,Correlation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
DTLB_STORE_MISSES.MISS_CAUSES_A_WALK,r0149:u,-0.178834510823,1,0,0,1,0,0,-1,0,0,-1,0,0,0,1,0,0
DTLB_STORE_MISSES.WALK_COMPLETED_4K,r0249:u,-0.157418879167,0,0,0,1,0,0,-1,0,0,-1,0,0,0,1,0,0
DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M,r0449:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTLB_STORE_MISSES.WALK_COMPLETED,r0e49:u,0.247842262688,0,0,0,0,1,0,-1,0,0,-1,-1,0,0,-1,0,0
DTLB_STORE_MISSES.WALK_DURATION,r1049:u,0.374460347143,29,-6,9,11,55,6,0,14,0,-8,-1,-5,9,-3,8,-4
DTLB_STORE_MISSES.STLB_HIT_4K,r2049:u,0.0194189788492,18,9,7,9,4,9,11,11,9,7,8,12,14,3,6,6
DTLB_STORE_MISSES.STLB_HIT_2M,r4049:u,-0.0828111792043,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
DTLB_STORE_MISSES.STLB_HIT,r6049:u,0.139133375142,17,6,11,10,5,8,12,13,8,7,9,6,11,4,11,7
DTLB_STORE_MISSES.PDE_CACHE_MISS,r8049:u,-0.143261530904,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0
LOAD_HIT_PRE.SW_PF,r014c:u,0.299044699705,0,0,0,0,1,3,1,1,2,1,0,0,1,0,0,0
LOAD_HIT_PRE.HW_PF,r024c:u,0.157968616443,2559,2881,2404,11148,4166,3824,4798,9837,6851,2885,3864,1586,10823,3515,2176,5044
L1D.REPLACEMENT,r0151:u,0.847205035383,206629,213874,212167,206112,216410,207031,226718,214874,205590,203221,197379,197594,181796,187857,178344,186553
MOVE_ELIMINATION.INT_NOT_ELIMINATED,r0458:u,-0.194957521476,148,146,145,149,148,149,147,153,148,146,147,153,152,147,151,149
MOVE_ELIMINATION.SIMD_NOT_ELIMINATED,r0858:u,0.30025971083,2,2,3,4,2,4,3,4,4,3,3,3,3,3,1,3
MOVE_ELIMINATION.INT_ELIMINATED,r0158:u,0.0595750913693,1557,1532,1540,1557,1572,1576,1557,1609,1562,1547,1523,1592,1585,1556,1576,1548
MOVE_ELIMINATION.SIMD_ELIMINATED,r0258:u,-0.0522167859243,8,8,7,7,7,6,8,7,7,9,8,7,7,8,6,7
CPL_CYCLES.RING0,r015c:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPL_CYCLES.RING123,r025c:u,0.966550913082,1684708,1740525,1810604,1855292,1864021,1833088,1824035,1786879,1722727,1714357,1651442,1656326,1583910,1612003,1606185,1603614
RS_EVENTS.EMPTY_CYCLES,r015e:u,-0.181723614264,5681,3670,5307,4776,5337,3845,3802,4645,4627,9127,3860,6619,7899,4539,4675,3871
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD,r0160:u,0.334010998511,1349403,1106143,1589369,1480982,1438153,1683502,1044113,1141994,1214978,1250086,1176808,1180937,1019838,1387082,1180910,1452318
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_CODE_RD,r0260:u,0.432934978224,9407315,13716902,13131297,13379704,14656706,14506983,13063889,11829670,8140334,10974761,12523772,13142371,11673971,12322570,12870282,13027863
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_RFO,r0460:u,-0.270993321065,8061853,5973365,6028243,5299534,4945360,5544643,5636632,3716447,3962586,6703932,6142713,6299113,6983835,5915315,3709523,8319757
OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD,r0860:u,0.747944200583,8912555,9385598,9338217,9648650,9213055,9509924,9347864,9331169,9391251,9168176,8667825,9010504,8850116,8675565,9167507,8980799
LOCK_CYCLES.SPLIT_LOCK_UC_LOCK_DURATION,r0163:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOCK_CYCLES.CACHE_LOCK_DURATION,r0263:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDQ.EMPTY,r0279:u,0.0605311175213,7977,5635,5385,5096,10320,5631,9331,5117,8174,6250,6276,8228,5712,6089,7774,4841
IDQ.MITE_UOPS,r0479:u,-0.0866577866759,32128,22172,34995,32217,29510,37082,34142,20295,50568,26987,27510,25647,23948,35811,34532,27413
IDQ.DSB_UOPS,r0879:u,-0.0193124917349,3431202,3424984,3425857,3434863,3430934,3418942,3427794,3441364,3422164,3423796,3417249,3434743,3431394,3430058,3433302,3435692
IDQ.MS_DSB_UOPS,r1079:u,-0.130879166222,-1,-7,-4,-1,-5,-12,3,-6,-8,-10,-13,4,-6,1,8,-9
IDQ.MS_MITE_UOPS,r2079:u,-0.347714577441,787,1274,926,1303,1062,1574,1317,1028,892,1113,1502,1542,1736,2264,1178,1160
IDQ.MS_UOPS,r3079:u,-0.349161327545,786,1268,923,1303,1057,1563,1320,1022,885,1103,1490,1546,1730,2266,1186,1152
IDQ.ALL_DSB_CYCLES_ANY_UOPS,r01001879:u,0.34018848255,871303,872025,870015,873327,873014,868711,872815,873067,867969,873027,868222,872900,869709,871884,872933,868913
IDQ.ALL_DSB_CYCLES_4_UOPS,r04001879:u,0.304617146796,827014,827273,825352,828552,828451,824276,828361,828321,823495,828226,823827,828392,825334,827608,828258,824683
IDQ.ALL_MITE_CYCLES_ANY_UOPS,r01002479:u,-0.357100709227,9657,8953,11635,7409,7254,12388,7924,7620,13816,7484,12366,8132,11810,9532,7715,11439
IDQ.ALL_MITE_CYCLES_4_UOPS,r04002479:u,-0.336135696318,4323,4055,5124,3103,3012,5593,3329,3086,6345,3192,5863,3331,5140,3905,3264,5117
IDQ.MITE_ALL_UOPS,r3c79:u,0.157225843211,3460631,3457750,3460228,3459343,3461517,3458333,3460375,3458915,3461932,3460508,3457690,3461643,3459456,3459285,3457930,3457520
ICACHE.MISSES,r0280:u,-0.0310799286118,52,23,29,21,51,21,40,29,52,30,33,46,37,27,15,25
ITLB_MISSES.MISS_CAUSES_A_WALK,r0185:u,0.578618547353,24,24,24,23,24,24,23,24,23,23,23,22,23,23,22,23
ITLB_MISSES.WALK_COMPLETED_4K,r0285:u,0.171384095249,7,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6
ITLB_MISSES.WALK_COMPLETED_2M_4M,r0485:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITLB_MISSES.WALK_COMPLETED,r0e85:u,0.279350398618,6,6,6,5,6,6,6,6,6,6,5,6,6,6,5,4
ITLB_MISSES.WALK_DURATION,r1085:u,0.0229741956115,203,227,223,175,187,205,198,218,185,190,194,201,196,207,207,196
ITLB_MISSES.STLB_HIT_4K,r2085:u,0.0225191221764,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
ITLB_MISSES.STLB_HIT_2M,r4085:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITLB_MISSES.STLB_HIT,r6085:u,0.117539550033,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1
ILD_STALL.LCP,r0187:u,0.0471305184258,0,-1,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,0
ILD_STALL.IQ_FULL,r0487:u,0.0635468324481,7911,4943,6808,5162,4938,5494,5016,6700,5800,5764,4421,6939,4636,4202,6366,5739
BR_INST_EXEC.COND.NOTAKEN,r4188:u,0.186438780001,2034,2041,2051,2053,2033,2039,2047,2048,2050,2052,2028,2045,2037,2039,2051,2044
BR_INST_EXEC.COND.TAKEN,r8188:u,0.260190036064,16966,16962,16966,16957,16966,16964,16963,16961,16966,16955,16962,16954,16968,16957,16958,16948
BR_INST_EXEC.DIRECT_JMP.TAKEN,r8288:u,0.205872973982,46,48,50,51,47,48,49,49,49,50,45,49,48,48,49,50
BR_INST_EXEC.INDIRECT_JMP_NON_CALL_RET.TAKEN,r8488:u,0.443363281427,-1,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0
BR_INST_EXEC.RETURN_NEAR.TAKEN,r8888:u,-0.111924737849,63,63,61,63,62,61,61,63,64,65,63,62,65,60,61,62
BR_INST_EXEC.DIRECT_NEAR_CALL.TAKEN,r9088:u,0.106532375374,65,66,63,65,62,60,63,64,66,68,63,62,67,59,60,61
BR_INST_EXEC.INDIRECT_NEAR_CALL.TAKEN,ra088:u,nan,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
BR_INST_EXEC.ALL_BRANCHES,rff88:u,0.0593128681214,19196,19199,19187,19207,19183,19175,19193,19195,19213,19233,19190,19189,19227,19162,19170,19180
BR_MISP_EXEC.COND.NOTAKEN,r4189:u,0.0663127160034,73,81,74,78,76,76,73,72,73,72,72,77,75,72,76,80
BR_MISP_EXEC.COND.TAKEN,r8189:u,0.129542388764,80,98,74,87,79,80,71,70,71,73,65,83,77,67,80,88
BR_MISP_EXEC.INDIRECT_JMP_NON_CALL_RET.TAKEN,r8489:u,0.10055816165,0,1,0,0,0,0,-1,-1,-1,-1,-1,0,0,-1,0,0
BR_MISP_EXEC.RETURN_NEAR.TAKEN,r8889:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR_MISP_EXEC.DIRECT_NEAR_CALL.TAKEN,r9089:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR_MISP_EXEC.INDIRECT_NEAR_CALL.TAKEN,ra089:u,0.0092265891946,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,0,0,0
BR_MISP_EXEC.ALL_BRANCHES,rff89:u,0.0412081036423,157,145,158,166,152,140,160,157,161,144,152,156,136,157,151,171
IDQ_UOPS_NOT_DELIVERED.CORE,r019c:u,0.139662332592,6332,3946,14041,22115,6723,22215,26642,6551,23577,7866,20580,20923,6051,8675,20982,7738
UOPS_EXECUTED_PORT.PORT_0,r01a1:u,0.966837111236,1290137,1333999,1364433,1374842,1347708,1368152,1390795,1367235,1286505,1283716,1286020,1279346,1238711,1241421,1248921,1252462
UOPS_EXECUTED_PORT.PORT_1,r02a1:u,0.928624193417,1111875,1119489,1121023,1122333,1118859,1121347,1118254,1113167,1107021,1105228,1105756,1107026,1098161,1098675,1101084,1100438
UOPS_EXECUTED_PORT.PORT_2,r04a1:u,0.751486336304,791141,790945,791322,791501,791425,791270,791368,791233,791164,791172,790910,790993,791161,790975,791126,790891
UOPS_EXECUTED_PORT.PORT_3,r08a1:u,0.697248217249,796280,796228,796551,796741,796731,796546,796598,796535,796488,796495,796227,796286,796486,796299,796408,796199
UOPS_EXECUTED_PORT.PORT_4,r10a1:u,0.789633135112,99764,99639,99808,99768,99760,99786,99650,99870,99741,99670,99456,99569,99449,99493,99504,99431
UOPS_EXECUTED_PORT.PORT_5,r20a1:u,0.828702509466,92599,93141,93429,93300,93338,93402,93230,92825,92914,92710,92416,92411,92447,92681,92572,92617
UOPS_EXECUTED_PORT.PORT_6,r40a1:u,0.86174906693,97386,97893,98358,98003,97941,98067,97821,97607,97204,97055,96729,96638,96857,97084,96409,96763
UOPS_EXECUTED_PORT.PORT_7,r80a1:u,-0.805540667003,46877,46797,46829,46910,46775,46799,46823,46766,47050,47057,47117,47123,46972,47047,47122,47155
RESOURCE_STALLS.ANY,r01a2:u,0.84354283292,969735,890122,945843,1022016,992998,957364,907695,942310,870872,791101,772797,785062,709544,700726,775820,833161
RESOURCE_STALLS.RS,r04a2:u,0.553801730854,753746,645107,684538,766198,613463,628801,638866,713593,665692,598278,578397,595994,546553,543885,582545,644929
RESOURCE_STALLS.SB,r08a2:u,-0.14705933947,1287,208,749,150,318,293,10,361,50,136,345,59,61,99,1336,412
RESOURCE_STALLS.ROB,r10a2:u,0.154162771338,504,292,513,337,253,400,331,335,363,144,353,260,113,187,623,203
CYCLE_ACTIVITY.CYCLES_L2_PENDING,r020001a3:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYCLE_ACTIVITY.CYCLES_LDM_PENDING,r020002a3:u,0.867237713209,1748383,1770515,1846265,1855038,1875960,1868373,1789906,1762401,1689166,1682395,1641511,1775611,1574848,1567880,1690281,1702568
CYCLE_ACTIVITY.STALLS_L2_PENDING,r05a3:u,0.401061336349,1467476,1353913,1640274,1626952,1541793,1591505,1306601,1260355,1287567,1266041,1079227,1632761,1064198,1031023,1528170,1634999
CYCLE_ACTIVITY.CYCLES_L1D_PENDING,r080008a3:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYCLE_ACTIVITY.STALLS_L1D_PENDING,r0c000ca3:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSD.UOPS,r01a8:u,-0.818383138246,25021,24833,24836,24819,24836,24790,24899,24940,24953,24978,24989,25027,25002,25009,24994,24974
ITLB.ITLB_FLUSH,r01ae:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFFCORE_REQUESTS.DEMAND_DATA_RD,r01b0:u,-0.252811889659,31824,33046,31691,31956,31167,34336,31776,34436,32083,32636,32158,32191,33319,33458,32502,36236
OFFCORE_REQUESTS.DEMAND_CODE_RD,r02b0:u,-0.192231050154,26,38,28,25,28,28,13,32,48,36,23,56,28,26,25,25
OFFCORE_REQUESTS.DEMAND_RFO,r04b0:u,0.804127918977,69,82,77,78,83,95,102,97,62,65,61,65,64,68,66,66
OFFCORE_REQUESTS.ALL_DATA_RD,r08b0:u,0.156703159216,244875,240341,241629,240565,243671,244568,244476,239326,241700,240549,246545,243442,239170,242078,241789,238031
UOPS_EXECUTED.CORE,r02b1:u,-0.394754970358,4028639,4040054,4029899,4027436,4029704,4030636,4025284,4030381,4030414,4028830,4029343,4074834,4031734,4030269,4076021,4037786
PAGE_WALKER_LOADS.DTLB_L1,r11bc:u,0.104860217383,10,9,2,10,15,15,7,9,2,18,6,7,4,8,23,7
PAGE_WALKER_LOADS.ITLB_L1,r21bc:u,-0.143160239429,6,7,5,6,5,5,6,7,6,6,6,5,6,6,6,6
PAGE_WALKER_LOADS.DTLB_L2,r12bc:u,0.0306213590712,3,2,1,2,4,2,1,2,1,1,3,4,1,2,2,2
PAGE_WALKER_LOADS.ITLB_L2,r22bc:u,0.152567488507,0,0,0,0,0,0,-1,0,-1,0,0,0,-1,0,0,0
PAGE_WALKER_LOADS.DTLB_L3,r14bc:u,0.198106637073,4,5,3,4,6,4,4,3,4,4,4,3,3,4,5,3
PAGE_WALKER_LOADS.ITLB_L3,r24bc:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAGE_WALKER_LOADS.DTLB_MEMORY,r18bc:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAGE_WALKER_LOADS.ITLB_MEMORY,r28bc:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TLB_FLUSH.DTLB_THREAD,r01bd:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TLB_FLUSH.STLB_ANY,r20bd:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INST_RETIRED.ANY_P,instructions:u,nan,3490784,3490784,3490784,3490784,3490784,3490784,3490784,3490784,3490784,3490784,3490784,3490784,3490784,3490784,3490784,3490784
INST_RETIRED.ALL,r01c0:u,nan,3490784,3490784,3490784,3490784,3490784,3490784,3490784,3490784,3490784,3490784,3490784,3490784,3490784,3490784,3490784,3490784
OTHER_ASSISTS.AVX_TO_SSE,r08c1:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTHER_ASSISTS.SSE_TO_AVX,r10c1:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTHER_ASSISTS.ANY_WB_ASSIST,r40c1:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UOPS_RETIRED.ALL,r01c2:u,-0.390059814676,4026158,4026196,4026339,4026347,4026268,4026362,4026311,4026150,4026805,4026535,4026311,4026097,4026559,4026603,4026433,4026237
UOPS_RETIRED.RETIRE_SLOTS,r02c2:u,0.390444825535,3473776,3473799,3474086,3473648,3473840,3473800,3473872,3474262,3473820,3473887,3473869,3473710,3473355,3473965,3473657,3473782
MACHINE_CLEARS.MEMORY_ORDERING,r02c3:u,0.697108590914,3,5,5,5,3,5,4,3,1,1,2,2,2,2,2,3
MACHINE_CLEARS.SMC,r04c3:u,0.406529240971,22,23,31,18,23,22,24,37,22,24,24,20,8,27,17,22
MACHINE_CLEARS.MASKMOV,r20c3:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR_INST_RETIRED.ALL_BRANCHES,branch-instructions:u,nan,19131,19131,19131,19131,19131,19131,19131,19131,19131,19131,19131,19131,19131,19131,19131,19131
BR_INST_RETIRED.CONDITIONAL,r01c4:u,nan,18962,18962,18962,18962,18962,18962,18962,18962,18962,18962,18962,18962,18962,18962,18962,18962
BR_INST_RETIRED.NEAR_CALL,r02c4:u,nan,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
BR_INST_RETIRED.ALL_BRANCHES,r04c4:u,nan,19131,19131,19131,19131,19131,19131,19131,19131,19131,19131,19131,19131,19131,19131,19131,19131
BR_INST_RETIRED.NEAR_RETURN,r08c4:u,nan,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
BR_INST_RETIRED.NOT_TAKEN,r10c4:u,nan,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
BR_INST_RETIRED.NEAR_TAKEN,r20c4:u,nan,17113,17113,17113,17113,17113,17113,17113,17113,17113,17113,17113,17113,17113,17113,17113,17113
BR_INST_RETIRED.FAR_BRANCH,r40c4:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR_MISP_RETIRED.ALL_BRANCHES,branch-misses:u,-0.455187915732,167,155,132,158,132,151,143,150,166,139,160,152,143,164,155,151
BR_MISP_RETIRED.CONDITIONAL,r01c5:u,-0.445098215263,165,154,134,157,134,150,143,150,164,140,159,151,143,162,154,150
BR_MISP_RETIRED.ALL_BRANCHES,r04c5:u,-0.455187915732,167,155,132,158,132,151,143,150,166,139,160,152,143,164,155,151
BR_MISP_RETIRED.NEAR_TAKEN,r20c5:u,-0.489312975877,89,80,63,81,62,77,71,75,87,68,83,78,72,86,80,77
FP_ASSIST.X87_OUTPUT,r02ca:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FP_ASSIST.X87_INPUT,r04ca:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FP_ASSIST.SIMD_OUTPUT,r08ca:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FP_ASSIST.SIMD_INPUT,r10ca:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FP_ASSIST.ANY,r1eca:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROB_MISC_EVENTS.LBR_INSERTS,r20cc:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEM_UOPS_RETIRED.STLB_MISS.LOADS,r11d0:u,0.351939263079,2,3,3,2,2,2,4,0,2,2,2,1,1,1,3,-1
MEM_UOPS_RETIRED.STLB_MISS.STORES,r12d0:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEM_UOPS_RETIRED.LOCK.LOADS,r21d0:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEM_UOPS_RETIRED.LOCK.STORES,r22d0:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEM_UOPS_RETIRED.SPLIT.LOADS,r41d0:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEM_UOPS_RETIRED.SPLIT.STORES,r42d0:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEM_UOPS_RETIRED.ALL.LOADS,r81d0:u,-0.0325499032191,1529918,1530052,1530053,1530025,1530053,1529630,1530065,1530085,1530064,1529748,1529983,1529566,1530105,1529971,1530048,1530026
MEM_UOPS_RETIRED.ALL.STORES,r82d0:u,nan,98787,98787,98787,98787,98787,98787,98787,98787,98787,98787,98787,98787,98787,98787,98787,98787
MEM_LOAD_UOPS_RETIRED.L1_HIT,r01d1:u,-0.867046806729,831503,845389,852929,848185,836677,820637,829190,836187,884449,884327,873261,892433,957607,943733,949767,944980
MEM_LOAD_UOPS_RETIRED.L2_HIT,r02d1:u,0.309796744127,88929,71992,71228,68887,74163,92962,95647,96506,85370,84636,83896,82427,70671,72565,71742,73142
MEM_LOAD_UOPS_RETIRED.L3_HIT,r04d1:u,-0.2534788917,14433,11542,12339,13104,10791,13424,12395,10264,11100,14630,11472,16338,11856,13315,13656,13078
MEM_LOAD_UOPS_RETIRED.L1_MISS,r08d1:u,0.257889144729,103870,83805,83682,84575,85941,106683,108173,107191,96831,101508,96038,103116,83003,87065,86063,86985
MEM_LOAD_UOPS_RETIRED.L2_MISS,r10d1:u,-0.265702044873,14711,11936,12689,13383,11005,14189,12806,10410,11283,15038,11834,16857,12111,13861,14501,13568
MEM_LOAD_UOPS_RETIRED.L3_MISS,r20d1:u,-0.252659129292,278,393,349,279,213,764,410,145,182,407,361,518,254,545,844,489
MEM_LOAD_UOPS_RETIRED.HIT_LFB,r40d1:u,0.862555633756,589305,600847,600811,575028,610469,597706,591708,592977,551398,550774,562800,555790,507180,510153,518726,500251
