Performance counter,Mnemonic,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M,r0449:u,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
DTLB_STORE_MISSES.WALK_COMPLETED,r0e49:u,1172,1174,1187,1180,1178,1177,1183,1184,1179,1192,1180,1184,1187,1177,1189,1189
DTLB_STORE_MISSES.WALK_DURATION,r1049:u,23656,23649,24090,23764,23735,23720,23949,23925,23785,24239,23958,23977,24008,23712,24064,24148
DTLB_STORE_MISSES.STLB_HIT_4K,r2049:u,1532,1526,1528,1522,1512,1678,1525,1582,1525,1558,1592,1577,1539,1532,1568,1580
DTLB_STORE_MISSES.STLB_HIT_2M,r4049:u,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
DTLB_STORE_MISSES.STLB_HIT,r6049:u,1515,1519,1556,1530,1529,1695,1526,1611,1572,1524,1544,1556,1536,1542,1581,1550
DTLB_STORE_MISSES.PDE_CACHE_MISS,r8049:u,389,391,393,389,389,390,390,393,389,390,391,392,391,389,393,390
LOAD_HIT_PRE.SW_PF,r014c:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOAD_HIT_PRE.HW_PF,r024c:u,368038,224248,358344,317735,251643,294406,351110,221295,230209,313156,277632,149072,260421,250317,253803,257367
L1D.REPLACEMENT,r0151:u,119534,119686,119452,119706,119520,119521,119516,119454,120040,119535,119718,119664,119739,119691,120030,119685
MOVE_ELIMINATION.INT_NOT_ELIMINATED,r0458:u,1463,1470,1498,1444,1473,1464,1486,1491,1435,1458,1449,1460,1459,1448,1451,1460
MOVE_ELIMINATION.SIMD_NOT_ELIMINATED,r0858:u,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MOVE_ELIMINATION.INT_ELIMINATED,r0158:u,18302,18313,18724,18085,18248,18246,18553,18527,18001,18056,18117,18126,18095,18148,18118,18141
MOVE_ELIMINATION.SIMD_ELIMINATED,r0258:u,24,23,24,23,26,23,23,25,24,24,24,23,23,24,24,24
CPL_CYCLES.RING0,r015c:u,721,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722
CPL_CYCLES.RING123,r025c:u,3422017,3742936,3679176,3625790,3723113,3583964,3540653,3381550,3307263,3438177,3276751,3278484,3174859,3204485,3291577,3200295
RS_EVENTS.EMPTY_CYCLES,r015e:u,304818,310250,295291,304246,301968,305323,283012,305984,303087,301390,289900,302719,278324,303263,298406,277260
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD,r0160:u,3308358,5047650,3244549,2897466,3886257,2751531,3536060,3727855,3238257,2475517,3951233,3430301,3611897,3820225,3650746,3139832
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_CODE_RD,r0260:u,51671880,57679147,58543892,57287987,55275977,53986590,52798048,54732446,57374194,47409891,46981454,53039194,52022418,50841361,46453770,47252591
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_RFO,r0460:u,1727765,4074949,2030708,1431359,3060563,2943694,3022634,3826411,3406064,3565759,4668573,2892229,4056244,3075467,4880899,3338910
OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD,r0860:u,10617256,11545073,9750116,9433892,10032938,9425078,10098898,9861003,9857774,10390326,11146595,10053296,10413445,10375855,10638186,9742308
LOCK_CYCLES.SPLIT_LOCK_UC_LOCK_DURATION,r0163:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOCK_CYCLES.CACHE_LOCK_DURATION,r0263:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDQ.EMPTY,r0279:u,170307,171935,172816,169925,169947,168454,143601,163154,168884,148889,168911,166479,157411,140113,146110,135869
IDQ.MITE_UOPS,r0479:u,91287,96699,94807,91424,90649,89707,90209,88811,91168,87927,90743,88641,89061,88695,91203,86130
IDQ.DSB_UOPS,r0879:u,556132,557568,556084,559222,550790,548558,551628,560211,548778,547653,549237,550431,549588,551979,550202,548287
IDQ.MS_DSB_UOPS,r1079:u,4090,3991,4030,4025,3906,3922,4052,4101,3971,3971,3981,3956,3973,3927,3959,3946
IDQ.MS_MITE_UOPS,r2079:u,358657,358731,357961,358283,355242,355925,358022,357619,355391,356526,355639,357573,355626,356884,355461,354784
IDQ.MS_UOPS,r3079:u,362747,362722,361991,362308,359148,359847,362074,361719,359362,360498,359619,361529,359598,360811,359420,358730
IDQ.ALL_DSB_CYCLES_ANY_UOPS,r01001879:u,159146,161507,160442,159790,159087,158524,159239,158566,157729,158390,158716,159528,158479,161002,158384,158925
IDQ.ALL_DSB_CYCLES_4_UOPS,r04001879:u,92526,94457,94003,92818,92525,92167,92632,91871,91451,92061,92123,92530,91842,94244,91725,92195
IDQ.ALL_MITE_CYCLES_ANY_UOPS,r01002479:u,228570,231381,231508,229373,227392,227266,227958,227213,227717,228013,228561,228727,227176,229381,226515,226915
IDQ.ALL_MITE_CYCLES_4_UOPS,r04002479:u,50263,50645,50617,50339,50046,49940,50303,49967,50391,50237,50253,50276,49985,50389,49881,49989
IDQ.MITE_ALL_UOPS,r3c79:u,1010029,1013633,1025457,1005610,998974,1004741,1012172,1009329,1000533,1000450,995686,1000881,997806,995818,994050,1003413
ICACHE.MISSES,r0280:u,1288,1260,1331,1101,1040,1254,1229,1292,1211,1040,1035,1170,1194,988,984,1056
ITLB_MISSES.MISS_CAUSES_A_WALK,r0185:u,293,289,305,288,292,289,298,295,290,289,287,294,285,287,288,297
ITLB_MISSES.WALK_COMPLETED_4K,r0285:u,192,192,197,188,188,191,194,194,191,188,187,191,188,186,185,191
ITLB_MISSES.WALK_COMPLETED_2M_4M,r0485:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITLB_MISSES.WALK_COMPLETED,r0e85:u,193,190,196,195,186,192,191,195,184,192,192,190,190,185,185,186
ITLB_MISSES.WALK_DURATION,r1085:u,6314,6331,6353,6407,5784,6313,5961,6542,5886,6245,6044,6180,5979,5779,5484,5954
ITLB_MISSES.STLB_HIT_4K,r2085:u,61,61,61,61,50,59,52,60,48,57,58,57,54,48,49,50
ITLB_MISSES.STLB_HIT_2M,r4085:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITLB_MISSES.STLB_HIT,r6085:u,60,56,63,60,49,57,60,60,57,59,62,54,51,50,55,50
ILD_STALL.LCP,r0187:u,51,45,43,48,48,46,47,43,46,45,45,44,43,48,47,43
ILD_STALL.IQ_FULL,r0487:u,26902,22961,25391,26885,21845,23307,26338,26887,26019,27043,25091,21579,22753,21162,24585,21010
BR_INST_EXEC.COND.NOTAKEN,r4188:u,18559,18606,18627,18484,18451,18347,18830,18461,18355,18626,18462,18508,18443,18408,18454,18591
BR_INST_EXEC.COND.TAKEN,r8188:u,1068717,1070785,1070882,1068917,1068628,1067819,1068927,1069293,1068151,1068507,1068105,1068585,1068536,1068017,1067739,1068280
BR_INST_EXEC.DIRECT_JMP.TAKEN,r8288:u,698,710,721,707,704,693,772,700,701,705,713,701,699,702,714,711
BR_INST_EXEC.INDIRECT_JMP_NON_CALL_RET.TAKEN,r8488:u,307,312,311,310,308,308,317,310,309,310,309,312,308,306,308,309
BR_INST_EXEC.RETURN_NEAR.TAKEN,r8888:u,1402,1409,1402,1422,1401,1382,1409,1404,1406,1406,1402,1412,1382,1383,1395,1410
BR_INST_EXEC.DIRECT_NEAR_CALL.TAKEN,r9088:u,1553,1560,1546,1586,1561,1531,1559,1564,1558,1575,1551,1580,1537,1523,1561,1574
BR_INST_EXEC.INDIRECT_NEAR_CALL.TAKEN,ra088:u,74,73,73,74,73,72,74,73,73,73,73,74,71,72,73,74
BR_INST_EXEC.ALL_BRANCHES,rff88:u,1091496,1093592,1094352,1091434,1091801,1090766,1091502,1091376,1091063,1091227,1090728,1091490,1089761,1090006,1090464,1091444
BR_MISP_EXEC.COND.NOTAKEN,r4189:u,1695,1692,1681,1755,1720,1687,1701,1721,1696,1694,1685,1707,1704,1674,1696,1683
BR_MISP_EXEC.COND.TAKEN,r8189:u,740,719,690,910,779,702,758,843,821,762,727,744,802,703,748,703
BR_MISP_EXEC.INDIRECT_JMP_NON_CALL_RET.TAKEN,r8489:u,21,20,17,33,25,19,22,30,29,25,20,21,27,20,23,18
BR_MISP_EXEC.RETURN_NEAR.TAKEN,r8889:u,10,10,10,10,10,9,10,10,10,10,9,10,10,10,10,10
BR_MISP_EXEC.DIRECT_NEAR_CALL.TAKEN,r9089:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR_MISP_EXEC.INDIRECT_NEAR_CALL.TAKEN,ra089:u,9,9,20,9,11,11,10,15,9,9,8,12,16,19,14,10
BR_MISP_EXEC.ALL_BRANCHES,rff89:u,2444,2483,2673,2414,2500,2489,2461,2545,2402,2432,2426,2486,2575,2618,2542,2471
IDQ_UOPS_NOT_DELIVERED.CORE,r019c:u,132412,136098,150421,124674,135008,135049,130646,167175,132036,127595,125364,124510,153992,144525,147452,126967
UOPS_EXECUTED_PORT.PORT_0,r01a1:u,1470842,1876435,1810655,1806408,1791321,1788039,1662615,1410458,1323503,1344523,1277800,1222174,1266268,1201003,1169854,1208991
UOPS_EXECUTED_PORT.PORT_1,r02a1:u,1293500,1339787,1350693,1346475,1339671,1332796,1314469,1288569,1279973,1285127,1276434,1268041,1277063,1263638,1259021,1265096
UOPS_EXECUTED_PORT.PORT_2,r04a1:u,2194671,2195963,2198584,2196883,2188675,2189610,2189349,2184858,2186603,2183248,2184506,2183561,2187756,2185136,2186058,2185125
UOPS_EXECUTED_PORT.PORT_3,r08a1:u,2194591,2194991,2194116,2191623,2184279,2182810,2183802,2182419,2185805,2182454,2184467,2183795,2187069,2185462,2185903,2185769
UOPS_EXECUTED_PORT.PORT_4,r10a1:u,1082953,1083410,1083042,1083118,1082431,1082398,1082709,1082721,1082359,1082755,1082387,1082266,1082383,1082246,1082016,1082153
UOPS_EXECUTED_PORT.PORT_5,r20a1:u,862136,842939,848501,843478,846334,851518,856608,860475,860813,859690,859724,860607,858308,859470,858998,859392
UOPS_EXECUTED_PORT.PORT_6,r40a1:u,1466731,1489667,1485453,1484391,1480384,1475993,1473643,1469436,1465420,1466772,1466106,1463214,1463044,1463093,1462815,1463934
UOPS_EXECUTED_PORT.PORT_7,r80a1:u,18769,18756,18612,18984,18634,18686,18839,18688,18697,18997,18672,18700,18878,18684,18566,18628
RESOURCE_STALLS.ANY,r01a2:u,914009,1265602,1210850,1167469,1153358,1076426,1021154,889903,828594,867138,847260,796744,744259,726492,787131,819625
RESOURCE_STALLS.RS,r04a2:u,741682,1111234,1054840,1026284,996216,944461,878268,737028,686047,695292,675047,631575,592602,576860,618306,627776
RESOURCE_STALLS.SB,r08a2:u,36440,30086,32816,29707,34619,29955,30326,30444,34474,38932,34508,35326,32670,30242,37379,39210
RESOURCE_STALLS.ROB,r10a2:u,12207,13006,13057,12815,12129,12729,12874,13073,12520,11052,12185,12656,12503,10397,11360,10199
CYCLE_ACTIVITY.CYCLES_L2_PENDING,r020001a3:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYCLE_ACTIVITY.CYCLES_LDM_PENDING,r020002a3:u,2910692,3242841,3184377,3174161,3163288,3073732,3043092,2930207,2829466,2824720,2787815,2773507,2742991,2715876,2863812,2822942
CYCLE_ACTIVITY.STALLS_L2_PENDING,r05a3:u,3110596,3116192,3056423,3093734,3163301,2914493,3036656,3086326,3000650,2952038,2948889,2997839,2954809,2931577,3272340,3121138
CYCLE_ACTIVITY.CYCLES_L1D_PENDING,r080008a3:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYCLE_ACTIVITY.STALLS_L1D_PENDING,r0c000ca3:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSD.UOPS,r01a8:u,7109462,7105938,7119041,7102066,7110217,7110671,7110461,7102622,7100823,7102260,7100771,7107809,7104810,7104676,7106366,7103304
ITLB.ITLB_FLUSH,r01ae:u,61,61,61,61,61,61,61,61,60,61,61,60,61,61,61,61
OFFCORE_REQUESTS.DEMAND_DATA_RD,r01b0:u,11355,9734,9580,9386,9458,10084,10982,14054,13665,11684,15015,14017,12664,15202,15650,10727
OFFCORE_REQUESTS.DEMAND_CODE_RD,r02b0:u,1471,1457,1508,1460,1522,1503,1482,1483,1434,1524,1467,1471,1459,1440,1511,1446
OFFCORE_REQUESTS.DEMAND_RFO,r04b0:u,1019,1019,1024,1017,1016,1020,1019,1021,1021,1012,1017,1011,1015,1006,1012,1013
OFFCORE_REQUESTS.ALL_DATA_RD,r08b0:u,116296,116663,116575,116502,116177,116272,116288,116331,116633,115386,116501,115621,115990,115863,115402,115649
UOPS_EXECUTED.CORE,r02b1:u,9998987,10008182,10068175,9995839,9997516,10020156,9994578,10094073,9989530,10023762,9993831,9980697,9989603,9983676,10040443,9986804
PAGE_WALKER_LOADS.DTLB_L1,r11bc:u,6116,5359,5284,5246,5324,5289,5231,5168,5168,5257,5227,5278,5096,5196,5233,5076
PAGE_WALKER_LOADS.ITLB_L1,r21bc:u,374,371,371,373,375,373,373,382,378,375,371,373,377,373,372,376
PAGE_WALKER_LOADS.DTLB_L2,r12bc:u,98,138,133,122,112,105,106,101,101,96,93,97,106,92,91,99
PAGE_WALKER_LOADS.ITLB_L2,r22bc:u,19,19,18,18,19,18,19,18,18,18,18,20,17,18,18,17
PAGE_WALKER_LOADS.DTLB_L3,r14bc:u,55,57,61,57,61,59,60,57,59,56,60,59,64,65,66,63
PAGE_WALKER_LOADS.ITLB_L3,r24bc:u,27,27,28,27,26,26,24,27,26,27,27,27,26,26,25,27
PAGE_WALKER_LOADS.DTLB_MEMORY,r18bc:u,2,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2
PAGE_WALKER_LOADS.ITLB_MEMORY,r28bc:u,3,3,3,3,3,3,2,3,2,2,2,3,2,2,2,2
TLB_FLUSH.DTLB_THREAD,r01bd:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TLB_FLUSH.STLB_ANY,r20bd:u,678,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679
INST_RETIRED.ANY_P,instructions:u,8554320,8554321,8554321,8554321,8554321,8554321,8554321,8554321,8554321,8554321,8554342,8554342,8554342,8554342,8554342,8554342
INST_RETIRED.ALL,r01c0:u,8554320,8554321,8554321,8554321,8554321,8554321,8554321,8554321,8554321,8554321,8554342,8554342,8554342,8554342,8554342,8554342
OTHER_ASSISTS.AVX_TO_SSE,r08c1:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTHER_ASSISTS.SSE_TO_AVX,r10c1:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTHER_ASSISTS.ANY_WB_ASSIST,r40c1:u,678,679,679,679,679,679,679,679,679,679,679,679,679,679,679,679
UOPS_RETIRED.ALL,r01c2:u,9822197,9822869,9822841,9821545,9822303,9822345,9820330,9822966,9822056,9822472,9820521,9820436,9820912,9822381,9821872,9820831
UOPS_RETIRED.RETIRE_SLOTS,r02c2:u,7691653,7692567,7690961,7692421,7692196,7691932,7690051,7692116,7691932,7691902,7690120,7689919,7690194,7692607,7692263,7690108
MACHINE_CLEARS.MEMORY_ORDERING,r02c3:u,141,247,381,151,144,139,151,115,124,70,79,99,182,124,131,115
MACHINE_CLEARS.SMC,r04c3:u,53,67,16,72,66,58,4,67,59,63,7,3,8,80,69,6
MACHINE_CLEARS.MASKMOV,r20c3:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR_INST_RETIRED.ALL_BRANCHES,branch-instructions:u,1081129,1081130,1081130,1081130,1081130,1081130,1081130,1081130,1081130,1081130,1081136,1081136,1081136,1081136,1081136,1081136
BR_INST_RETIRED.CONDITIONAL,r01c4:u,1077308,1077308,1077308,1077308,1077308,1077308,1077308,1077308,1077308,1077308,1077314,1077314,1077314,1077314,1077314,1077314
BR_INST_RETIRED.NEAR_CALL,r02c4:u,1169,1169,1169,1169,1169,1169,1169,1169,1169,1169,1169,1169,1169,1169,1169,1169
BR_INST_RETIRED.ALL_BRANCHES,r04c4:u,1081129,1081130,1081130,1081130,1081130,1081130,1081130,1081130,1081130,1081130,1081136,1081136,1081136,1081136,1081136,1081136
BR_INST_RETIRED.NEAR_RETURN,r08c4:u,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165
BR_INST_RETIRED.NOT_TAKEN,r10c4:u,18670,18672,18672,18672,18672,18672,18672,18672,18672,18672,18677,18677,18677,18677,18677,18677
BR_INST_RETIRED.NEAR_TAKEN,r20c4:u,1061738,1061736,1061736,1061736,1061736,1061736,1061736,1061736,1061736,1061736,1061737,1061737,1061737,1061737,1061737,1061737
BR_INST_RETIRED.FAR_BRANCH,r40c4:u,721,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722
BR_MISP_RETIRED.ALL_BRANCHES,branch-misses:u,2235,2421,2170,2133,2205,2143,2074,2178,2089,2262,2137,2109,2222,2378,2199,2306
BR_MISP_RETIRED.CONDITIONAL,r01c5:u,2197,2362,2139,2104,2172,2111,2052,2146,2065,2222,2107,2079,2185,2322,2163,2259
BR_MISP_RETIRED.ALL_BRANCHES,r04c5:u,2235,2421,2170,2133,2205,2143,2074,2178,2089,2262,2137,2109,2222,2378,2199,2306
BR_MISP_RETIRED.NEAR_TAKEN,r20c5:u,652,798,598,577,612,588,537,609,545,668,582,569,642,759,619,713
FP_ASSIST.X87_OUTPUT,r02ca:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FP_ASSIST.X87_INPUT,r04ca:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FP_ASSIST.SIMD_OUTPUT,r08ca:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FP_ASSIST.SIMD_INPUT,r10ca:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FP_ASSIST.ANY,r1eca:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROB_MISC_EVENTS.LBR_INSERTS,r20cc:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEM_UOPS_RETIRED.STLB_MISS.LOADS,r11d0:u,418,424,428,423,422,423,419,424,439,431,420,420,437,424,422,420
MEM_UOPS_RETIRED.STLB_MISS.STORES,r12d0:u,283,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284
MEM_UOPS_RETIRED.LOCK.LOADS,r21d0:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEM_UOPS_RETIRED.LOCK.STORES,r22d0:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEM_UOPS_RETIRED.SPLIT.LOADS,r41d0:u,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3
MEM_UOPS_RETIRED.SPLIT.STORES,r42d0:u,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
MEM_UOPS_RETIRED.ALL.LOADS,r81d0:u,3189432,3189479,3189481,3189487,3189477,3189463,3189468,3189485,3189479,3189475,3189459,3189482,3189481,3189469,3189487,3189451
MEM_UOPS_RETIRED.ALL.STORES,r82d0:u,1065512,1065512,1065512,1065512,1065512,1065512,1065512,1065512,1065512,1065512,1065512,1065512,1065512,1065512,1065512,1065512
MEM_LOAD_UOPS_RETIRED.L1_HIT,r01d1:u,3009219,2941909,2908589,2960114,2923936,2865208,2899614,2892904,2876655,2823137,2892112,2984137,2886753,2982986,3061703,3037513
MEM_LOAD_UOPS_RETIRED.L2_HIT,r02d1:u,13289,10989,1938,1302,1289,1692,6337,31214,50036,65396,44144,30089,48979,31615,14378,16443
MEM_LOAD_UOPS_RETIRED.L3_HIT,r04d1:u,1032,1050,874,1171,1124,1215,1354,1969,2037,3234,2650,1757,2704,2659,1674,2561
MEM_LOAD_UOPS_RETIRED.L1_MISS,r08d1:u,9537,8965,3171,4128,3544,4033,9006,35263,40570,69502,45140,31055,34500,31523,16051,39824
MEM_LOAD_UOPS_RETIRED.L2_MISS,r10d1:u,1984,1816,1688,2188,2016,2141,2354,3501,3610,5896,4861,3269,4950,4881,2918,4772
MEM_LOAD_UOPS_RETIRED.L3_MISS,r20d1:u,944,765,811,1014,886,923,994,1530,1572,2660,2206,1507,2233,2218,1242,2203
MEM_LOAD_UOPS_RETIRED.HIT_LFB,r40d1:u,220933,194563,253273,268999,254058,292524,334949,273150,263724,229863,183315,218443,249221,163189,149131,155870
MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_MISS,r01d2:u,5,6,0,1,0,1,8,0,6,6,0,5,3,0,1,8
MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HIT,r02d2:u,0,2,0,1,0,0,1,0,1,2,0,0,0,0,1,0
MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HITM,r04d2:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_NONE,r08d2:u,1727,1183,900,1078,876,1102,1138,1665,2331,2307,1909,2877,2279,1616,2280,2185
MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM,r01d3:u,1600,1034,779,972,736,762,914,1377,1910,1949,1650,2341,1851,1280,1728,1872
BACLEARS.ANY,r1fe6:u,1205,1211,1154,1209,1181,1165,1152,1182,1162,1170,1187,1161,1185,1165,1176,1142
