Performance counter,Mnemonic,Correlation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
L1D_PEND_MISS.PENDING,r0148:u,0.608004573,2507224,2527711,2818219,2732862,2492803,2690730,2737780,2923476,2133053,2602345,2758857,2409329,2329226,2531107,2467823,2595446
DTLB_STORE_MISSES.MISS_CAUSES_A_WALK,r0149:u,0.488974027819,-1,-3,3,2,-1,1,1,3,2,2,2,0,2,1,0,-2
DTLB_STORE_MISSES.WALK_COMPLETED_4K,r0249:u,0.505465025144,-1,-3,2,2,-1,2,2,3,2,1,2,0,2,1,-1,-2
DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M,r0449:u,-0.141869822695,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
DTLB_STORE_MISSES.WALK_COMPLETED,r0e49:u,0.419693057186,1,-1,1,2,1,2,0,4,2,2,1,0,-1,-2,3,-1
DTLB_STORE_MISSES.WALK_DURATION,r1049:u,0.166060746719,105,44,105,108,137,124,103,127,155,157,121,99,65,89,140,97
DTLB_STORE_MISSES.STLB_HIT_4K,r2049:u,-0.277060326255,1,-67,-14,111,69,60,-22,35,9,-39,-20,7,89,38,64,17
DTLB_STORE_MISSES.STLB_HIT_2M,r4049:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTLB_STORE_MISSES.STLB_HIT,r6049:u,-0.502732742354,-45,-19,-35,18,35,30,-21,39,66,75,52,-24,148,51,143,46
DTLB_STORE_MISSES.PDE_CACHE_MISS,r8049:u,-0.0478795687014,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
LOAD_HIT_PRE.SW_PF,r014c:u,0.397101406178,2082,2468,2416,2577,2473,2660,1895,2196,1896,2238,2108,1838,1491,1903,1588,1979
LOAD_HIT_PRE.HW_PF,r024c:u,-0.370315205948,11069,11055,10483,11400,14786,12427,12265,12997,14870,11057,12555,14087,12076,11693,12351,12648
L1D.REPLACEMENT,r0151:u,-0.258602095499,188851,192572,197876,195865,197635,198667,203967,199997,199550,200547,205587,204932,199393,199137,204176,204745
MOVE_ELIMINATION.INT_NOT_ELIMINATED,r0458:u,-0.359069324257,11,11,9,9,8,9,8,9,9,11,9,11,9,13,10,9
MOVE_ELIMINATION.SIMD_NOT_ELIMINATED,r0858:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOVE_ELIMINATION.INT_ELIMINATED,r0158:u,-0.0103653396448,4356,4449,4429,4408,4338,4435,4387,4383,4322,4433,4442,4419,4329,4426,4420,4423
MOVE_ELIMINATION.SIMD_ELIMINATED,r0258:u,0.0877019603387,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3
CPL_CYCLES.RING0,r015c:u,-0.312617504331,-1039,-458,-684,-132,671,-972,269,-802,258,-1111,320,-1256,2453,255,-1256,1325
CPL_CYCLES.RING123,r025c:u,0.396603135338,2361389,2605458,2671428,2319393,2508942,2639619,2516653,2609351,2370476,2471412,2523909,2232375,2524883,2554576,2204699,2452758
RS_EVENTS.EMPTY_CYCLES,r015e:u,0.0621759638048,151560,207082,194439,89591,82867,94166,93604,104124,108415,148830,143489,75123,175562,181490,88625,140556
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD,r0160:u,-0.0242347331592,20384995,19486797,20065615,19826121,18500743,24449078,15683570,23403467,19215480,24562959,15408428,15366787,29706181,17851686,16517974,27811030
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_CODE_RD,r0260:u,-0.241973815487,14734471,9090635,13110853,15897496,11998845,22492320,5000256,17803058,16784165,27242510,11927226,11124658,20271237,16998567,15513992,31929488
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_RFO,r0460:u,-0.0316445270574,20633784,15524110,18207127,19075140,16990328,24021030,15234626,23559627,19983949,27596079,12678510,10073205,33022515,17341434,16816019,30348350
OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD,r0860:u,-0.162163959423,18096734,15676690,14096831,18363617,15576319,24180322,13575815,23664914,19112316,25494084,16121620,13933638,30483197,17695560,17037805,27636333
LOCK_CYCLES.SPLIT_LOCK_UC_LOCK_DURATION,r0163:u,0.262789191177,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,0
LOCK_CYCLES.CACHE_LOCK_DURATION,r0263:u,-0.21243416316,40,34,41,29,31,36,35,36,40,52,57,46,47,48,41,53
IDQ.EMPTY,r0279:u,-0.28983514548,36040,50818,51928,41500,38848,57051,54658,44939,62548,66780,74773,59171,50499,63150,60324,64326
IDQ.MITE_UOPS,r0479:u,-0.368993351302,14684,36525,40750,35854,36720,52523,35837,31079,50746,50167,50455,39876,39591,37009,48204,63062
IDQ.DSB_UOPS,r0879:u,-0.266296786717,2184554,2226042,2214980,2210237,2197093,2203201,2217224,2214535,2187889,2217080,2216124,2226269,2198957,2223165,2219955,2222937
IDQ.MS_DSB_UOPS,r1079:u,-0.634234218519,-9439,9348,-2505,-5306,4262,-13393,-4170,-4997,-6575,-698,-5193,3866,2974,4712,541,1758
IDQ.MS_MITE_UOPS,r2079:u,-0.662418200652,-85458,74086,-11815,-48805,41648,-81009,-12005,-12478,-26416,14830,-33074,56881,36242,39618,18282,52656
IDQ.MS_UOPS,r3079:u,-0.661924038866,-94897,83434,-14320,-54111,45910,-94401,-16175,-17474,-32990,14133,-38267,60748,39217,44331,18824,54415
IDQ.ALL_DSB_CYCLES_ANY_UOPS,r01001879:u,-0.181864036944,576393,579793,580709,579479,581022,584763,592356,583309,572839,585021,585073,591948,583929,584890,588662,586681
IDQ.ALL_DSB_CYCLES_4_UOPS,r04001879:u,-0.142450483355,506624,510078,510831,510033,508681,512684,516868,512382,504834,512965,513296,516953,510270,513247,515326,514097
IDQ.ALL_MITE_CYCLES_ANY_UOPS,r01002479:u,-0.280792688435,737,7304,-1012,-45046,23977,22079,50165,5760,-15309,17805,16843,48873,41818,18506,38186,27594
IDQ.ALL_MITE_CYCLES_4_UOPS,r04002479:u,-0.279248111885,-2063,323,-4012,-27857,11361,9060,24801,-479,-10911,6568,5785,23490,20958,6582,17498,11801
IDQ.MITE_ALL_UOPS,r3c79:u,-0.56250342535,2175643,2259479,2197820,2262721,2324824,2248485,2182954,2141710,2203568,2287685,2278009,2161875,2271153,2276499,2295629,2288493
ICACHE.MISSES,r0280:u,-0.531293950519,79,80,25,23,43,31,46,33,61,57,66,48,73,83,76,63
ITLB_MISSES.MISS_CAUSES_A_WALK,r0185:u,-0.443121804151,-13,-46,-24,28,-110,14,-34,-14,4,24,-35,22,21,176,91,2
ITLB_MISSES.WALK_COMPLETED_4K,r0285:u,-0.416176471154,-14,-62,-27,15,-112,3,-37,-16,4,18,-23,4,20,170,82,-1
ITLB_MISSES.WALK_COMPLETED_2M_4M,r0485:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITLB_MISSES.WALK_COMPLETED,r0e85:u,0.245855205323,3,3,119,-32,-5,-33,-5,-7,-21,3,72,27,35,19,25,4
ITLB_MISSES.WALK_DURATION,r1085:u,0.206466180069,234,296,1472,-57,193,-236,214,121,18,330,1260,536,655,505,522,240
ITLB_MISSES.STLB_HIT_4K,r2085:u,-0.412038181865,1,0,-2,0,-1,-1,-2,-1,-1,0,-1,1,0,0,-1,0
ITLB_MISSES.STLB_HIT_2M,r4085:u,-0.0475319327812,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-1,0
ITLB_MISSES.STLB_HIT,r6085:u,-0.206565860815,-1,-2,-1,0,0,-1,1,-1,-1,0,0,2,2,0,-1,0
ILD_STALL.LCP,r0187:u,0.319524417845,1,-1,1,-1,0,0,-1,1,2,1,2,0,0,1,-1,-1
ILD_STALL.IQ_FULL,r0487:u,-0.120642701381,-21621,35100,11452,11373,19492,29192,-2741,30377,-3770,28790,-16034,15424,27717,16268,3109,-11726
BR_INST_EXEC.COND.NOTAKEN,r4188:u,-0.124535257372,2343,2127,7329,-10198,594,7282,7101,6408,7005,7098,6972,4179,7977,10452,10028,7753
BR_INST_EXEC.COND.TAKEN,r8188:u,-0.117127443852,35146,35428,38466,27868,34165,38356,38393,37958,37928,38282,38327,36675,38410,40237,39969,38791
BR_INST_EXEC.DIRECT_JMP.TAKEN,r8288:u,-0.0854509928842,87,97,92,87,84,100,97,95,91,87,93,91,92,97,98,91
BR_INST_EXEC.INDIRECT_JMP_NON_CALL_RET.TAKEN,r8488:u,-0.125397660911,-2364,-2507,420,-10164,-3284,435,334,-122,375,306,206,-1370,854,2206,1910,771
BR_INST_EXEC.RETURN_NEAR.TAKEN,r8888:u,-0.103704320238,-1521,759,-456,-15470,462,882,194,-517,224,-134,193,-867,210,626,475,-866
BR_INST_EXEC.DIRECT_NEAR_CALL.TAKEN,r9088:u,-0.103676516407,-1533,752,-463,-15502,455,876,187,-524,216,-142,185,-875,204,619,467,-874
BR_INST_EXEC.INDIRECT_NEAR_CALL.TAKEN,ra088:u,nan,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
BR_INST_EXEC.ALL_BRANCHES,rff88:u,-0.103874839091,35194,49037,42086,-43101,46510,49674,45713,41741,45256,43989,45877,39690,45347,48146,47576,39698
BR_MISP_EXEC.COND.NOTAKEN,r4189:u,-0.0557722618447,29,44,52,41,31,45,49,46,35,44,50,49,37,51,53,48
BR_MISP_EXEC.COND.TAKEN,r8189:u,0.175058920501,26,28,52,25,22,26,36,26,36,29,36,28,40,34,43,28
BR_MISP_EXEC.INDIRECT_JMP_NON_CALL_RET.TAKEN,r8489:u,0.130834139635,10,10,13,9,9,9,11,10,12,10,11,9,12,11,12,10
BR_MISP_EXEC.RETURN_NEAR.TAKEN,r8889:u,-0.10480797729,-2,1,1,-5,1,-1,0,2,0,-1,1,-1,0,1,0,1
BR_MISP_EXEC.DIRECT_NEAR_CALL.TAKEN,r9089:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR_MISP_EXEC.INDIRECT_NEAR_CALL.TAKEN,ra089:u,-0.0264945648621,0,-1,0,1,0,1,2,0,1,0,-1,0,1,0,2,0
BR_MISP_EXEC.ALL_BRANCHES,rff89:u,-0.0753702562389,64,72,81,97,62,99,109,92,85,87,81,93,72,88,113,94
IDQ_UOPS_NOT_DELIVERED.CORE,r019c:u,-0.495078355806,379926,420254,315491,460127,441366,445736,483876,421457,475044,400376,424939,407339,449086,432082,462336,450385
UOPS_EXECUTED_PORT.PORT_0,r01a1:u,0.118380600181,647980,669129,719113,707019,684787,715064,691817,696008,680699,668108,691852,686699,684126,687245,715732,678443
UOPS_EXECUTED_PORT.PORT_1,r02a1:u,-0.247245068137,560528,568118,617866,597381,606799,617903,599700,607203,606187,575918,601673,614957,612937,608902,647283,596743
UOPS_EXECUTED_PORT.PORT_2,r04a1:u,-0.147410091294,423438,427102,434665,431046,430354,434748,431956,432726,429794,428346,431968,434092,429827,432681,439105,430417
UOPS_EXECUTED_PORT.PORT_3,r08a1:u,-0.119793647766,429652,433350,441990,438148,437710,442284,439099,440033,436949,434624,438538,440784,436893,439290,446442,437063
UOPS_EXECUTED_PORT.PORT_4,r10a1:u,-0.323211237735,131510,132800,131462,131601,130535,132872,134238,132160,134557,133640,133572,134750,132009,133461,135020,132646
UOPS_EXECUTED_PORT.PORT_5,r20a1:u,-0.329097788726,52570,64181,50205,51366,44901,65895,79058,56928,83429,71785,69770,82718,58106,69511,85334,60728
UOPS_EXECUTED_PORT.PORT_6,r40a1:u,-0.330571161668,72710,95701,68801,71000,59489,99390,125882,82334,135488,110646,106971,132772,85373,106006,137555,89338
UOPS_EXECUTED_PORT.PORT_7,r80a1:u,-0.373917160908,101152,103702,102028,101463,99881,102801,103207,101578,102558,103807,103779,104126,101095,104490,105000,103213
RESOURCE_STALLS.ANY,r01a2:u,0.15915250639,1305818,1544264,1423593,1543159,1372384,1492332,1426938,1509101,1089379,1311678,1275076,1405634,1248522,1404311,1419979,1271382
RESOURCE_STALLS.RS,r04a2:u,-0.0330577139745,74821,53569,58791,71393,75709,50287,51513,63195,65249,45905,50892,66038,72709,49529,55737,62414
RESOURCE_STALLS.SB,r08a2:u,0.502246169222,6314,7392,6795,7229,5571,6283,5258,4821,757,2024,472,2508,3293,2267,1809,-766
RESOURCE_STALLS.ROB,r10a2:u,0.450875306144,1385,2009,1708,1453,1231,1728,1759,1407,89,719,234,515,1060,748,1024,371
CYCLE_ACTIVITY.CYCLES_L2_PENDING,r020001a3:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYCLE_ACTIVITY.CYCLES_LDM_PENDING,r020002a3:u,0.448256053765,2383429,2299133,2427871,2287422,2503052,2550778,2615544,2530281,2428888,2257438,2360429,2395752,2286059,2378426,2328095,2243921
CYCLE_ACTIVITY.STALLS_L2_PENDING,r05a3:u,0.414869492099,7788733,6897510,7476639,6574517,7547413,7832794,8051508,7716502,7410214,6597705,7143031,7309903,6820129,7556755,7143825,6592655
CYCLE_ACTIVITY.CYCLES_L1D_PENDING,r080008a3:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYCLE_ACTIVITY.STALLS_L1D_PENDING,r0c000ca3:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSD.UOPS,r01a8:u,0.58321523807,856,528,727,579,525,768,566,567,729,706,822,576,541,546,546,559
ITLB.ITLB_FLUSH,r01ae:u,0.16636380703,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFFCORE_REQUESTS.DEMAND_DATA_RD,r01b0:u,0.182736680181,121682,121918,124056,123250,118322,121269,122668,123808,119979,120849,123736,123699,120795,122797,124005,122829
OFFCORE_REQUESTS.DEMAND_CODE_RD,r02b0:u,-0.10341032426,50,59,37,18,56,59,63,59,63,49,52,32,47,50,80,39
OFFCORE_REQUESTS.DEMAND_RFO,r04b0:u,0.235337042769,11905,13863,15114,14730,12192,13670,15302,14539,11736,14141,14613,14240,11587,13709,14230,14846
OFFCORE_REQUESTS.ALL_DATA_RD,r08b0:u,-0.174209788292,205586,208502,210535,209854,209104,210532,211908,209584,210579,212486,214195,212701,207940,210365,211986,213230
UOPS_EXECUTED.CORE,r02b1:u,-0.416444072168,4393482,4623397,4588357,4681420,4655111,4998033,4611653,4702487,4536232,4700166,4685478,4726879,4638433,4985363,4735118,4744681
PAGE_WALKER_LOADS.DTLB_L1,r11bc:u,0.277153055575,2382,692,442,492,400,436,431,399,419,425,421,432,446,491,452,483
PAGE_WALKER_LOADS.ITLB_L1,r21bc:u,-0.327492410273,8,9,12,-114,1,-30,-3,-1,11,-4,10,4,0,16,8,540
PAGE_WALKER_LOADS.DTLB_L2,r12bc:u,0.51129214782,103,71,85,85,73,79,82,81,77,78,83,78,71,77,79,86
PAGE_WALKER_LOADS.ITLB_L2,r22bc:u,0.0849643986002,0,-1,2,-2,-1,-4,-2,-2,-2,-3,-2,-1,-2,-1,-1,0
PAGE_WALKER_LOADS.DTLB_L3,r14bc:u,-0.154334640841,100,104,105,115,98,102,100,101,100,106,103,105,100,107,106,104
PAGE_WALKER_LOADS.ITLB_L3,r24bc:u,-0.159988513482,-1,1,1,0,0,0,-1,-1,1,1,-1,-1,0,0,0,0
PAGE_WALKER_LOADS.DTLB_MEMORY,r18bc:u,-0.345803864322,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,1
PAGE_WALKER_LOADS.ITLB_MEMORY,r28bc:u,-0.0478795687014,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
TLB_FLUSH.DTLB_THREAD,r01bd:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TLB_FLUSH.STLB_ANY,r20bd:u,-0.339793928704,-4,0,-2,1,4,0,2,4,4,0,-1,4,5,-5,7,3
INST_RETIRED.ANY_P,instructions:u,-0.277824350043,2228872,2215111,2223580,2193182,2216403,2230423,2215770,2195483,2207797,2206944,2242255,2239236,2226930,2272164,2212081,2217813
INST_RETIRED.ALL,r01c0:u,-0.277824350043,2228872,2215111,2223580,2193182,2216403,2230423,2215770,2195483,2207797,2206944,2242255,2239236,2226930,2272164,2212081,2217813
OTHER_ASSISTS.AVX_TO_SSE,r08c1:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTHER_ASSISTS.SSE_TO_AVX,r10c1:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTHER_ASSISTS.ANY_WB_ASSIST,r40c1:u,-0.0876225939376,0,-2,-3,12,-6,-2,-2,-4,1,1,-4,2,6,-4,-4,3
UOPS_RETIRED.ALL,r01c2:u,-0.207731408176,2279385,2409302,2397234,1810339,2478391,2384592,2276925,2350018,2362008,2279293,2405537,2384677,2252218,2433417,2419651,2369032
UOPS_RETIRED.RETIRE_SLOTS,r02c2:u,-0.301978894814,2131602,2155535,2246242,1820209,2179093,2082368,2133382,2092829,2168646,2157343,2279694,2306446,2101474,2354244,2233622,2224800
MACHINE_CLEARS.MEMORY_ORDERING,r02c3:u,0.0994885447647,285,622,628,669,302,619,700,669,284,604,693,649,270,602,625,676
MACHINE_CLEARS.SMC,r04c3:u,0.18312669864,137,110,178,138,146,131,146,201,228,170,216,200,157,153,136,145
MACHINE_CLEARS.MASKMOV,r20c3:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR_INST_RETIRED.ALL_BRANCHES,branch-instructions:u,-0.159510232997,41710,41659,31476,-19138,47621,51533,50493,35035,44304,52426,49266,47243,46825,40847,46330,49382
BR_INST_RETIRED.CONDITIONAL,r01c4:u,-0.157939091991,42733,42611,38439,17261,45154,46771,46332,39872,43784,47145,45820,44980,44775,42292,44591,45892
BR_INST_RETIRED.NEAR_CALL,r02c4:u,-0.160662179005,-260,-242,-1746,-9107,613,1185,1035,-1214,126,1316,858,561,508,-366,429,869
BR_INST_RETIRED.ALL_BRANCHES,r04c4:u,-0.159510232997,41710,41659,31476,-19138,47621,51533,50493,35035,44304,52426,49266,47243,46825,40847,46330,49382
BR_INST_RETIRED.NEAR_RETURN,r08c4:u,-0.0717202561055,-835,2,375,-9655,-947,2148,-1650,816,1786,87,-173,-61,-1407,722,-435,843
BR_INST_RETIRED.NOT_TAKEN,r10c4:u,-0.0698176290743,4886,6245,7007,-11954,4519,10434,3195,7794,9626,6386,5946,6278,3639,7704,5445,7861
BR_INST_RETIRED.NEAR_TAKEN,r20c4:u,-0.0715274171606,33751,37063,38586,-1525,33274,45689,30461,40355,44213,37415,36393,36850,31449,39983,35338,40446
BR_INST_RETIRED.FAR_BRANCH,r40c4:u,-0.0717863563751,-857,-23,350,-9669,-966,2119,-1672,788,1759,64,-197,-83,-1431,695,-457,816
BR_MISP_RETIRED.ALL_BRANCHES,branch-misses:u,-0.0195867132745,59,89,81,75,66,82,87,84,77,69,80,94,60,77,80,77
BR_MISP_RETIRED.CONDITIONAL,r01c5:u,0.00536369413898,51,78,72,69,57,73,77,75,66,62,72,83,50,68,72,69
BR_MISP_RETIRED.ALL_BRANCHES,r04c5:u,-0.0195867132745,59,89,81,75,66,82,87,84,77,69,80,94,60,77,80,77
BR_MISP_RETIRED.NEAR_TAKEN,r20c5:u,-0.110332427268,33,46,36,33,39,39,39,39,43,27,29,43,30,36,34,32
FP_ASSIST.X87_OUTPUT,r02ca:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FP_ASSIST.X87_INPUT,r04ca:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FP_ASSIST.SIMD_OUTPUT,r08ca:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FP_ASSIST.SIMD_INPUT,r10ca:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FP_ASSIST.ANY,r1eca:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROB_MISC_EVENTS.LBR_INSERTS,r20cc:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEM_UOPS_RETIRED.STLB_MISS.LOADS,r11d0:u,0.326753282818,1667,357,362,371,359,359,351,350,359,337,342,353,352,340,350,347
MEM_UOPS_RETIRED.STLB_MISS.STORES,r12d0:u,0.479338818044,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0
MEM_UOPS_RETIRED.LOCK.LOADS,r21d0:u,-0.321278876204,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MEM_UOPS_RETIRED.LOCK.STORES,r22d0:u,-0.321278876204,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MEM_UOPS_RETIRED.SPLIT.LOADS,r41d0:u,0.167703257991,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
MEM_UOPS_RETIRED.SPLIT.STORES,r42d0:u,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEM_UOPS_RETIRED.ALL.LOADS,r81d0:u,-0.067548162012,827634,823843,821718,820567,815976,823539,821023,821957,820170,815333,782596,818619,816593,820923,823729,822892
MEM_UOPS_RETIRED.ALL.STORES,r82d0:u,-0.0690302051399,133876,132923,132409,132153,130991,132870,132257,132466,132049,130843,122595,131655,131148,132215,132908,132729
MEM_LOAD_UOPS_RETIRED.L1_HIT,r01d1:u,0.265668895724,619779,618515,615625,612233,599574,618729,609917,605797,596142,601142,554172,593551,570493,604546,600115,593488
MEM_LOAD_UOPS_RETIRED.L2_HIT,r02d1:u,-0.516854265001,10922,11118,10879,10769,11850,12040,12683,12820,13380,16278,19320,16477,18738,17107,17245,17263
