Performance counter,Mnemonic,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
LD_BLOCKS.STORE_FORWARD,r0203:u,10,10,10,10,13,9,9,10,10,9,9,10,8,9,6,9
LD_BLOCKS.NO_SR,r0803:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MISALIGN_MEM_REF.LOADS,r0105:u,5,5,6,6,5,6,6,5,5,5,6,5,4,5,5,5
MISALIGN_MEM_REF.STORES,r0205:u,20,20,19,20,20,20,20,19,19,21,22,21,20,21,22,21
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,r0107:u,32351,856355,1626613,2315278,2226233,1453311,876148,333573,36517,23812,31281,31778,24800,40399,37625,40022
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,r0108:u,1955,1906,1861,1906,1872,1902,1887,1857,1845,1883,1925,1886,1913,1880,1906,1890
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,r0208:u,1625,1595,1552,1590,1560,1580,1576,1545,1540,1561,1594,1563,1584,1548,1573,1563
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,r0408:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTLB_LOAD_MISSES.WALK_COMPLETED,r0e08:u,1622,1660,1576,1568,1561,1571,1569,1552,1573,1559,1610,1553,1551,1554,1577,1583
DTLB_LOAD_MISSES.WALK_DURATION,r1008:u,36479,36757,35971,34521,35221,35775,35086,35312,35353,34988,36177,34506,34229,34858,35317,36227
DTLB_LOAD_MISSES.STLB_HIT_4K,r2008:u,153468,152595,152345,152294,151749,151739,152312,152348,151626,152511,152985,153793,154276,153306,153713,153307
DTLB_LOAD_MISSES.STLB_HIT_2M,r4008:u,15,14,13,13,13,14,13,13,12,13,14,13,14,14,13,15
DTLB_LOAD_MISSES.STLB_HIT,r6008:u,153452,152693,152542,152559,151762,151669,152262,152573,151620,152528,152924,153686,154160,153194,153608,153523
DTLB_LOAD_MISSES.PDE_CACHE_MISS,r8008:u,563,586,581,592,577,588,583,586,582,581,590,580,578,582,586,591
INT_MISC.RECOVERY_CYCLES,r030d:u,49487,50640,49725,53069,51702,50693,51963,50231,54493,54147,53628,49534,51020,53079,52349,50664
UOPS_ISSUED.ANY,r010e:u,38714695,38722438,38715521,38741327,38731679,38720205,38733387,38718781,38754859,38751459,38743452,38712681,38724194,38742334,38735798,38719527
UOPS_ISSUED.FLAGS_MERGE,r100e:u,808,808,815,819,801,807,804,811,810,812,826,820,805,806,826,808
UOPS_ISSUED.SLOW_LEA,r200e:u,2583,2567,2549,2524,2549,2549,2497,2515,2518,2486,2618,2515,2485,2486,2593,2528
UOPS_ISSUED.SiNGLE_MUL,r400e:u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2_RQSTS.DEMAND_DATA_RD_MISS,r2124:u,160868,164566,183537,177367,148634,172137,154741,162521,154220,175511,169279,202508,151593,157015,193718,172951
L2_RQSTS.DEMAND_DATA_RD_HIT,r4124:u,916051,925946,907384,928848,1030477,1042455,1038463,1039317,920041,912255,912121,879964,775487,758313,791821,786409
L2_RQSTS.ALL_DEMAND_DATA_RD,re124:u,1181392,1190240,1151689,1192725,1241817,1243246,1242526,1210743,1092491,1119638,1086049,1054300,934541,936489,996291,989931
L2_RQSTS.RFO_HIT,r4224:u,506,525,524,525,525,464,480,473,584,575,598,591,579,539,562,558
L2_RQSTS.RFO_MISS,r2224:u,1316,1365,1374,1405,1376,1510,1559,1728,1271,1303,1286,1285,1279,1296,1300,1308
